case,horizon_kind,vartheta_US,t,evidence_window,phi_US,phi_W,rd_share_US,N_US,N_W,G_N_US,G_N_W,US_real_scale_growth,W_real_scale_growth,relative_real_scale_growth,zeta,e_W_over_e_US,Q_W_over_e_US,q_US,q_W,Y_US,NFA,rebased_NFA_change_current_Y,cum_VA_current_Y,cum_CA_current_Y,residual_norm
baseline_vartheta085,replication_T30_buffer10,0.85,1,true,0.9932766422851227,0.7466805409353546,0.006723357714877309,1.0,1.0,1.0013446715429755,1.0455975026316362,1.0023543616601958,1.0455975026316362,0.9586426508645985,0.8825268255850989,1.8905489305107868,0.9038178660151562,1.0667190368509896,2.3249284524982983,2.725595527795278,0.14218193690303926,0.0,0.0,0.0,9.76833026544544e-12
baseline_vartheta085,replication_T30_buffer10,0.85,2,true,0.9850947192487884,0.7502535895968687,0.014905280751211558,1.0013446715429755,1.0455975026316362,1.0029810561502424,1.0449543538725636,1.0052226787096046,1.0449543538725636,0.9619775973795268,0.8969721907162518,1.9730369965875345,0.9344461533598127,1.0833643712649312,2.305429263001035,2.7301075960486854,0.12497592409464958,-0.006302320404255177,-0.0048788756597912715,-0.001423444744463917,1.082788541061857e-9
baseline_vartheta085,replication_T30_buffer10,0.85,3,true,0.9771604546661242,0.7534054885927134,0.022839545333875777,1.004329736234591,1.0926016627732076,1.0045679090667752,1.0443870120533116,1.008007528838665,1.0443870120533116,0.9651666644694068,0.9105977688143129,2.0517028672896833,0.9637229365008811,1.1005061758861976,2.288431337489412,2.742693704907298,0.10901088908602025,-0.012094331845247075,-0.009594201103148951,-0.002500130742098145,1.166171094818782e-11
baseline_vartheta085,replication_T30_buffer10,0.85,4,true,0.9695114709384454,0.7561709199962325,0.030488529061554637,1.008917423142769,1.1410989859481904,1.0060977058123108,1.043889234400678,1.0106953734941968,1.043889234400678,0.9682017403642077,0.9233037039800809,2.1261740259955695,0.9915254772426786,1.1180545030267444,2.2736719495843145,2.763223333132342,0.09427326948367787,-0.017337964269812732,-0.014125142147724812,-0.0032128221220879194,8.815591790501017e-10
baseline_vartheta085,replication_T30_buffer10,0.85,5,true,0.9621723310206097,0.7585831856660605,0.03782766897939027,1.0150695047780085,1.1911809468168466,1.007565533795878,1.043455026580109,1.0132772224964022,1.043455026580109,0.971078960458302,0.9350165020713501,2.1961641907536795,1.0177579896620796,1.1359354434818032,2.2609137311541816,2.79158910751615,0.08074330895395654,-0.0220084781759836,-0.018453556469455814,-0.0035549217065277794,1.0495800986482977e-11
baseline_vartheta085,replication_T30_buffer10,0.85,6,true,0.9551573234477998,0.7606735474004699,0.0448426765522002,1.0227490474215717,1.2429437465224922,1.00896853531044,1.0430787614679153,1.0157476826759408,1.0430787614679153,0.9737976845070532,0.9456855064538012,2.261467329843455,1.0423505322196578,1.1540886321782011,2.249944674955881,2.8277135622596736,0.06839980608238572,-0.0260925051976244,-0.022564118533994117,-0.0035283866636303283,6.065594500066397e-11
baseline_vartheta085,replication_T30_buffer10,0.85,7,true,0.948472656978005,0.7624709204784703,0.05152734302199502,1.031921608367091,1.2964882236969717,1.010305468604399,1.0427552343138753,1.0181042059066456,1.0427552343138753,0.9763597174139818,0.955279842646352,2.321950637557558,1.0652572212834677,1.1724653384772796,2.2405767621589794,2.8715533031024774,0.057223198635339534,-0.02958633509463634,-0.02644444138243483,-0.0031418937122015,1.0710066792261908e-9
baseline_vartheta085,replication_T30_buffer10,0.85,8,true,0.9421182212324031,0.7640017838547546,0.057881778767596925,1.0425560441043191,1.3519198814863156,1.0115763557535193,1.0424796789061441,1.0203464834166274,1.0424796789061441,0.97876870318207,0.9637856693009915,2.3775468165566127,1.08645399411928,1.1910269302797607,2.2326439586177185,2.923101517383525,0.04719757228376387,-0.03249437765141189,-0.030085137358620697,-0.0024092402927911884,1.3724334165374701e-11
baseline_vartheta085,replication_T30_buffer10,0.85,9,true,0.9360890218275343,0.765290217157954,0.06391097817246572,1.0546250437638525,1.4093490039586867,1.0127821956344931,1.0422477609115683,1.0224759496985656,1.0422477609115683,0.9810296438577043,0.9712036439104476,2.4282460091893605,1.1059361179933471,1.2097435720405154,2.2260000116312813,2.982389462009543,0.038311988608873304,-0.03482776130256914,-0.03347979088710836,-0.0013479704154607548,7.070703904083725e-11
baseline_vartheta085,replication_T30_buffer10,0.85,10,true,0.9303763440051582,0.7663580148367745,0.06962365599484177,1.0681054673942778,1.4688908437188903,1.0139247311989683,1.0420555573293806,1.0244953782352846,1.0420555573293806,0.9831485193178184,0.9775466036464283,2.474087695301877,1.1237155863922015,1.228593117563827,2.2205162443812037,3.049487343606217,0.030561348198180682,-0.03660306672165427,-0.0366248518468985,2.1785125244230577e-5,1.1468421467154244e-9
baseline_vartheta085,replication_T30_buffer10,0.85,11,true,0.9249687048049748,0.7672248379669192,0.07503129519502516,1.0829785489198915,1.5306658668075124,1.015006259039005,1.0418995291659545,1.026408548878156,1.0418995291659545,0.9851319826392483,0.9828374317120376,2.5151528037235926,1.139818528891312,1.2475601333940038,2.2160794874857856,3.124504892284643,0.023946974557429224,-0.03784118329837418,-0.03951945394657185,0.0016782706481976671,1.549074260289153e-11
baseline_vartheta085,replication_T30_buffer10,0.85,12,true,0.9198526202785366,0.767908385953293,0.08014737972146335,1.0992300055586692,1.5948000459371448,1.0160294759442927,1.0417764905284073,1.0282199783474488,1.0417764905284073,0.9869871202659964,0.9871071335921522,2.551556239645486,1.1542827128196687,1.2666350542813243,2.2125901787443794,3.2075918228207736,0.018477004889932647,-0.038566294854910754,-0.04216518193941976,0.0035988870845090203,7.458344060770482e-11
baseline_vartheta085,replication_T30_buffer10,0.85,13,true,0.9150132309264205,0.768424569204333,0.0849867690735795,1.1168500864900166,1.6614251949509413,1.016997353814716,1.04168357754322,1.0299346992487592,1.04168357754322,0.9887212599413632,0.9903930966293674,2.583439958434575,1.1671552094636302,1.2858134247987374,2.209960675607489,3.2989383355501753,0.014166692472408982,-0.03880498251546758,-0.044565796863246396,0.0057608143477788165,1.0260255138897464e-9
baseline_vartheta085,replication_T30_buffer10,0.85,14,true,0.9104347980681191,0.7687876791958623,0.08956520193188089,1.1358335825680834,1.7306793408969383,1.017913040386376,1.0416182177447448,1.0315580836260412,1.0416182177447448,0.9903418220348668,0.9927375580349248,2.610966682623258,1.1784902549700573,1.3050952447947193,2.208113754599054,3.3987757461347328,0.011038646165846155,-0.038585449742112636,-0.04672694414801758,0.008141494405904948,1.4116257584249995e-11
baseline_vartheta085,replication_T30_buffer10,0.85,15,true,0.9061011047073206,0.7690105461933353,0.09389889529267936,1.1561798154048277,1.8027071305527185,1.0187797790585358,1.0415781016851997,1.0330956995677216,1.0415781016851997,0.9918562015620777,0.9941862487743416,2.6343142999021576,1.1883473396099982,1.324484378921535,2.2069813113149737,3.507377326824889,0.0091230748815746,-0.03793685412852868,-0.04865585048802111,0.01071899635949243,8.933009386507877e-10
baseline_vartheta085,replication_T30_buffer10,0.85,16,false,0.9019957678679074,0.7691046863687527,0.09800423213209264,1.1778926168900692,1.877660270935474,1.0196008464264186,1.0415611564536245,1.0345531986966927,1.0415611564536245,0.993271679043031,0.9947872285296909,2.653670962508515,1.196789525727259,1.3439880484965834,2.2065032230970356,3.6250594010592048,0.008458040851406334,-0.036888746157527845,-0.05036102850824902,0.01347228235072117,9.647688557501086e-10
baseline_vartheta085,replication_T30_buffer10,0.85,17,false,0.898102485835206,0.7690804339188936,0.10189751416479398,1.2009803091805438,1.9556980032225781,1.0203795028329588,1.0415655218945992,1.0359362264624652,1.0415655218945992,0.994595351599298,0.9945898817585609,2.669230868254885,1.2038820006075175,1.3636163771798553,2.206626373621105,3.752182739567057,0.009089762619744923,-0.035470600320135555,-0.051851992252491354,0.016381391932355775,1.0733575658476293e-9
baseline_vartheta085,replication_T30_buffer10,0.85,18,false,0.8944052299486338,0.7689470593065739,0.1055947700513662,1.2254556907938163,2.0369876113947503,1.0211189540102732,1.0415895293248167,1.0372503519752272,1.0415895293248167,0.9958340812504113,0.9936440683887852,2.6811906955392777,1.209690854219831,1.3833819902955609,2.2073038154068017,3.889154284506966,0.011072978058294769,-0.03371143165161558,-0.053138991904799454,0.01942756025318384,1.7500582896788085e-11
baseline_vartheta085,replication_T30_buffer10,0.85,19,false,0.8908883887387385,0.76871287516209,0.10911161126126145,1.2513360331693184,2.1217049673931405,1.0218223222522522,1.0416316824708238,1.0385010147344789,1.0416316824708238,0.9969944580324988,0.9919994211978814,2.6897466487943347,1.214282065421144,1.4032996690325812,2.2084940480933963,4.036429226346966,0.014471373131407006,-0.031639490403554626,-0.05423277381455806,0.02259328341100341,7.35249834893436e-11
baseline_vartheta085,replication_T30_buffer10,0.85,20,false,0.8875368779849846,0.7683853290257541,0.1124631220150154,1.2786430913309943,2.2100351148924213,1.022492624403003,1.0416906407753643,1.0396934835109006,1.0416906407753643,0.9980827731513675,0.9897047645285296,2.695092059107846,1.2177206834795313,1.4233860406474435,2.210160405400195,4.194513462597754,0.019358104766179607,-0.02928202120033063,-0.05514436487472129,0.025862343674390664,1.438500073563579e-10
