parameter,baseline_configured,counterfactual_configured,configured_changed,baseline_resolved_T30,counterfactual_resolved_T30,origin
β,0.45,0.45,false,0.45,0.45,held_at_Notebook_15_selected_value_or_shared_default
γ,0.25,0.25,false,0.25,0.25,held_at_Notebook_15_selected_value_or_shared_default
κ,1.0,1.0,false,1.0,1.0,held_at_Notebook_15_selected_value_or_shared_default
ω̄,0.5,0.5,false,0.5,0.5,held_at_Notebook_15_selected_value_or_shared_default
ω̄_star,0.25,0.25,false,0.25,0.25,held_at_Notebook_15_selected_value_or_shared_default
χ,0.0002,0.0002,false,0.0002,0.0002,held_at_Notebook_15_selected_value_or_shared_default
η,0.01,0.01,false,0.01,0.01,held_at_Notebook_15_selected_value_or_shared_default
π_persist,0.75,0.75,false,0.75,0.75,held_at_Notebook_15_selected_value_or_shared_default
α_US,0.5,0.5,false,0.5,0.5,held_at_Notebook_15_selected_value_or_shared_default
ρ_US,2.0,2.0,false,2.0,2.0,held_at_Notebook_15_selected_value_or_shared_default
ϑ_US,0.85,0.5,true,0.85,0.5,user_counterfactual
a_US,0.2,0.2,false,0.2,0.2,held_at_Notebook_15_selected_value_or_shared_default
H_US,1.0,1.0,false,1.0,1.0,held_at_Notebook_15_selected_value_or_shared_default
L_US,1.0,1.0,false,1.0,1.0,held_at_Notebook_15_selected_value_or_shared_default
α_W,0.5,0.5,false,0.5,0.5,held_at_Notebook_15_selected_value_or_shared_default
ρ_W,2.0,2.0,false,2.0,2.0,held_at_Notebook_15_selected_value_or_shared_default
ϑ_W,0.5,0.5,false,0.5,0.5,held_at_Notebook_15_selected_value_or_shared_default
a_W,0.06,0.06,false,0.06,0.06,held_at_Notebook_15_selected_value_or_shared_default
H_W,3.0,3.0,false,3.0,3.0,held_at_Notebook_15_selected_value_or_shared_default
L_W,3.0,3.0,false,3.0,3.0,held_at_Notebook_15_selected_value_or_shared_default
Abar_X_US,10.0,10.0,false,10.0,10.0,held_at_Notebook_15_selected_value_or_shared_default
Abar_L_US,1.0,1.0,false,1.0,1.0,held_at_Notebook_15_selected_value_or_shared_default
ν_b,0.1,0.1,false,1.6606529874949896,0.5040173660500373,same_seed_then_endogenous_common_growth_recalibration
A_X_US_u,15.0,15.0,false,15.0,15.0,held_at_Notebook_15_selected_value_or_shared_default
A_L_US_u,1.5,1.5,false,1.5,1.5,held_at_Notebook_15_selected_value_or_shared_default
ξ_u,2.25,2.25,false,2.25,2.25,held_at_Notebook_15_selected_value_or_shared_default
ν_u,1.75,1.75,false,1.75,1.75,held_at_Notebook_15_selected_value_or_shared_default
Abar_X_W,10.0,10.0,false,10.0,10.0,held_at_Notebook_15_selected_value_or_shared_default
Abar_L_W,1.0,1.0,false,1.0,1.0,held_at_Notebook_15_selected_value_or_shared_default
ξ_W,1.0,1.0,false,1.0,1.0,held_at_Notebook_15_selected_value_or_shared_default
N_US_0,1.0,1.0,false,1.0,1.0,held_at_Notebook_15_selected_value_or_shared_default
N_W_0,1.0,1.0,false,1.0,1.0,held_at_Notebook_15_selected_value_or_shared_default
common_world_growth,true,true,false,true,true,held_at_Notebook_15_selected_value_or_shared_default
T_max,30,30,false,30,30,held_at_Notebook_15_selected_value_or_shared_default
n_buffer,10,10,false,10,10,held_at_Notebook_15_selected_value_or_shared_default
ftol,1.0e-9,1.0e-9,false,1.0e-9,1.0e-9,held_at_Notebook_15_selected_value_or_shared_default
xtol,1.0e-10,1.0e-10,false,1.0e-10,1.0e-10,held_at_Notebook_15_selected_value_or_shared_default
iterations,4000,4000,false,4000,4000,held_at_Notebook_15_selected_value_or_shared_default
branch_iters,60,60,false,60,60,held_at_Notebook_15_selected_value_or_shared_default
branch_tol,1.0e-7,1.0e-7,false,1.0e-7,1.0e-7,held_at_Notebook_15_selected_value_or_shared_default
do_global_polish,false,false,false,false,false,held_at_Notebook_15_selected_value_or_shared_default
φ_floor,0.001,0.001,false,0.001,0.001,held_at_Notebook_15_selected_value_or_shared_default
