T_report,n_buffer,terminal_rule,baseline_T_report,baseline_n_buffer,T0,status,max_u_residual,max_bgp_residual,max_log_q_US_error,t_max_log_q_US_error,max_log_d_over_q_US_error,t_max_log_d_over_q_US_error,max_log_phi_US_error,t_max_log_phi_US_error,max_log_Q_US_error,t_max_log_Q_US_error,max_log_minus_NFA_error,t_max_log_minus_NFA_error,max_log_cond_1b_error,t_max_log_cond_1b_error,log_cond_1b_start_t,domain_status,domain_message
45,0,local_loglinear,45,5,20,ok,0.00014723973566525166,7.029141312681287e-10,4.158828504630119e-6,20,2.2290882921716104e-6,20,2.229088291949566e-6,20,5.2045123768440504e-6,20,,6,4.022287834137828e-6,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345338, ref=-0.0345337)"
45,0,local_loglinear,45,5,30,ok,0.00014723973566525166,7.029141312681287e-10,3.295023909921646e-5,30,1.7382491401818356e-5,30,1.7382491401707334e-5,30,4.15821521118076e-5,30,,6,3.3092202636364476e-5,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345338, ref=-0.0345337)"
45,0,local_loglinear,45,5,40,ok,0.00014723973566525166,7.029141312681287e-10,0.00012872349806225536,40,6.700433119410931e-5,40,6.700433119433136e-5,40,0.0001646120698017839,40,,6,0.00013113413698206955,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345338, ref=-0.0345337)"
45,5,local_loglinear,45,5,20,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345337, ref=-0.0345337)"
45,5,local_loglinear,45,5,30,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345337, ref=-0.0345337)"
45,5,local_loglinear,45,5,40,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345337, ref=-0.0345337)"
45,20,local_loglinear,45,5,20,ok,2.8097800995762663e-6,7.02868496974185e-10,7.401697114028938e-5,20,3.968005366905558e-5,20,3.968005366894456e-5,20,9.245643794342229e-5,20,,6,7.11102935709862e-5,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345319, ref=-0.0345337)"
45,20,local_loglinear,45,5,30,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0005980809154323419,30,0.00031555678637795737,30,0.00031555678637784634,30,0.0007534988637196705,30,,6,0.0005950543673904907,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345319, ref=-0.0345337)"
45,20,local_loglinear,45,5,40,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0023567890537274927,40,0.0012269099024972974,40,0.0012269099024970753,40,0.0030098542760059743,40,,6,0.002364412843109065,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345319, ref=-0.0345337)"
60,0,local_loglinear,45,5,20,ok,0.0011682554419407498,7.028764772471178e-10,5.976377949024059e-5,20,3.2038976955472975e-5,20,3.203897695525093e-5,20,7.465286962582418e-5,20,,6,5.741827446337222e-5,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345323, ref=-0.0345337)"
60,0,local_loglinear,45,5,30,ok,0.0011682554419407498,7.028764772471178e-10,0.0004829159299466479,30,0.00025479363552216583,30,0.0002547936355220548,30,0.0006084074309438137,30,,6,0.0004804921303389609,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345323, ref=-0.0345337)"
60,0,local_loglinear,45,5,40,ok,0.0011682554419407498,7.028764772471178e-10,0.0019037789394193982,40,0.0009910790173575101,40,0.0009910790173575101,40,0.002431209803517298,40,,6,0.0019101393888263374,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345323, ref=-0.0345337)"
60,5,local_loglinear,45,5,20,ok,6.569342186883499e-6,7.02868496974185e-10,7.401697114028938e-5,20,3.968005366905558e-5,20,3.968005366894456e-5,20,9.245643794342229e-5,20,,6,7.11102935709862e-5,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345319, ref=-0.0345337)"
60,5,local_loglinear,45,5,30,ok,6.569342186883499e-6,7.02868496974185e-10,0.0005980809154323419,30,0.00031555678637795737,30,0.00031555678637784634,30,0.0007534988637196705,30,,6,0.0005950543673904907,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345319, ref=-0.0345337)"
60,5,local_loglinear,45,5,40,ok,6.569342186883499e-6,7.02868496974185e-10,0.0023567890537274927,40,0.0012269099024972974,40,0.0012269099024970753,40,0.0030098542760059743,40,,6,0.002364412843109065,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345319, ref=-0.0345337)"
60,20,local_loglinear,45,5,20,ok,1.2667896171432557e-9,7.029444021173171e-10,5.386883525188013e-5,20,2.887763531189691e-5,20,2.8877635311563843e-5,20,6.731278841920485e-5,20,,6,5.18217500349305e-5,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.034535, ref=-0.0345337)"
60,20,local_loglinear,45,5,30,ok,1.2667896171432557e-9,7.029444021173171e-10,0.00043391237456424925,30,0.00022893110702781883,30,0.00022893110702781883,30,0.0005468220604245566,30,,6,0.00043252807086147094,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.034535, ref=-0.0345337)"
60,20,local_loglinear,45,5,40,ok,1.2667896171432557e-9,7.029444021173171e-10,0.0017132794581824484,40,0.0008918891177849275,40,0.0008918891177849275,40,0.0021877415092976804,40,,6,0.0017245971629198387,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.034535, ref=-0.0345337)"
