T_report,n_buffer,terminal_rule,reference_rule,T0,status,max_u_residual,max_bgp_residual,max_log_q_US_error,t_max_log_q_US_error,max_log_d_over_q_US_error,t_max_log_d_over_q_US_error,max_log_phi_US_error,t_max_log_phi_US_error,max_log_Q_US_error,t_max_log_Q_US_error,max_log_minus_NFA_error,t_max_log_minus_NFA_error,max_log_cond_1b_error,t_max_log_cond_1b_error,log_cond_1b_start_t,domain_status,domain_message
45,0,flat,local_loglinear,20,ok,4.895213168041271e-7,7.031557954746385e-10,0.00040680989732794215,20,0.00021808417690394322,20,0.00021808417690449833,20,0.0005082170407646469,20,,6,0.00039105072518619277,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345437, ref=-0.0345338)"
45,0,flat,local_loglinear,30,ok,4.895213168041271e-7,7.031557954746385e-10,0.0032913587453081705,30,0.0017365093535692822,30,0.0017365093535693932,30,0.004146450633994547,30,,6,0.0032779925359052164,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345437, ref=-0.0345338)"
45,0,flat,local_loglinear,40,ok,4.895213168041271e-7,7.031557954746385e-10,0.013165207154213432,40,0.006853513125038457,40,0.006853513125038013,40,0.016787546550719235,40,,6,0.013246217893001067,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345437, ref=-0.0345338)"
45,0,local_loglinear,local_loglinear,20,ok,0.00014723973566525166,7.029141312681287e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345338, ref=-0.0345338)"
45,0,local_loglinear,local_loglinear,30,ok,0.00014723973566525166,7.029141312681287e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345338, ref=-0.0345338)"
45,0,local_loglinear,local_loglinear,40,ok,0.00014723973566525166,7.029141312681287e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345338, ref=-0.0345338)"
45,0,asymptotic_hkt,local_loglinear,20,ok,0.0005504850217686949,7.0315663514955e-10,0.0004072947622949519,20,0.00021834277016452575,20,0.0002183427701648588,20,0.0005088524366156921,20,,6,0.00039159781968656215,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345438, ref=-0.0345338)"
45,0,asymptotic_hkt,local_loglinear,30,ok,0.0005504850217686949,7.0315663514955e-10,0.0032932472386526523,30,0.0017374980766544645,30,0.0017374980766544645,30,0.004149045138282403,30,,6,0.0032808060721298826,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345438, ref=-0.0345338)"
45,0,asymptotic_hkt,local_loglinear,40,ok,0.0005504850217686949,7.0315663514955e-10,0.01316827092546835,40,0.006855085871765976,40,0.006855085871765976,40,0.016792262568459115,40,,6,0.013255289370720735,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345438, ref=-0.0345338)"
45,0,tail_regression,local_loglinear,20,ok,4.98740052511229e-6,7.029228754038513e-10,1.3775516562175572e-5,20,7.3845401797889565e-6,20,7.384540180344068e-6,20,1.721672524923612e-5,20,,6,1.3261257876706622e-5,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345341, ref=-0.0345338)"
45,0,tail_regression,local_loglinear,30,ok,4.98740052511229e-6,7.029228754038513e-10,0.00011070324522555186,30,5.840597548623094e-5,30,5.840597548645299e-5,30,0.00013953622661633247,30,,6,0.00011045618524851974,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345341, ref=-0.0345338)"
45,0,tail_regression,local_loglinear,40,ok,4.98740052511229e-6,7.029228754038513e-10,0.00043614183668050366,40,0.00022704170111120803,40,0.00022704170111098598,40,0.0005570775875556322,40,,6,0.00043966438713782807,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345341, ref=-0.0345338)"
45,0,hkt_scalar_terminal_us,local_loglinear,20,ok,3.0900407954511637e-7,7.018896706159768e-10,0.001724540091978477,20,0.0009245212872497355,20,0.0009245212872492914,20,0.002154494091821224,20,,6,0.0016570603081537127,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0344917, ref=-0.0345338)"
