t,q_W,q_US,n_W,n_US_star,bond,NFA,CA,VA,RES,cum_CA,cum_VA,cum_RES,accounting_line,Y_US,e_US
1,0.7113070988235356,0.8815627703309759,0.8069666862189679,0.041614605057438,-0.6398170308728565,-0.10250178497186443,0.0,0.0,0.0,0.0,0.0,0.0,-0.10250178497186443,1.734434524784418,1.68044411444827
2,0.7123305772146983,0.8882727341781219,0.8877644418551038,0.03803707791039527,-0.6801663680975051,-0.08157190999578753,0.020383194505792304,0.0005466804702845978,-1.0842021724855044e-18,0.020383194505792304,0.0005466804702845978,-1.0842021724855044e-18,-0.08157190999578753,1.926634705676019,1.8682887289942676
3,0.7134610571098609,0.8963421441111566,0.9714882975964726,0.034801741182474324,-0.7197094823009303,-0.05778468183819248,0.023090565078751416,0.0006966630788436581,-1.7997756063259374e-17,0.04347375958454372,0.001243343549128256,-1.9081958235744878e-17,-0.05778468183819248,2.1393061827643614,2.076432433798836
4,0.7146596448620007,0.9057822981253784,1.0572950357481596,0.03215022875479829,-0.7572681304341535,-0.03078314375879521,0.026165657901276576,0.0008358801781207139,-2.1467203015212988e-17,0.0696394174858203,0.00207922372724897,-4.0549161250957866e-17,-0.03078314375879521,2.375030141692742,2.3074526211842454
5,0.7158863823123155,0.916620970207799,1.1444053725798005,0.03034794090043094,-0.7916095482097611,-0.00016288516679222043,0.02967170096246692,0.0009485576295360849,-1.6588293239028218e-17,0.09931111844828722,0.003027781356785055,-5.713745448998608e-17,-0.00016288516679222032,2.636777710163716,2.5643193068402192
6,0.717100198089968,0.9289026381657384,1.2323120029941588,0.02963250739213064,-0.8216317613871903,0.03453370577655035,0.033680216979421126,0.0010163739639214577,-1.4094628242311558e-17,0.13299133542770836,0.004044155320706512,-7.123208273229764e-17,0.034533705776550364,2.9279766230233344,2.850462793424461
7,0.7182591695555727,0.9426887911689039,1.3209772891583285,0.030161816128027454,-0.8465465839029167,0.07382426082452698,0.0382708588805596,0.0010196961674169569,6.830473686658678e-17,0.17126219430826795,0.005063851488123469,-2.927345865710862e-18,0.07382426082452698,3.2525910159693647,3.169854738754241
8,0.7193210114598309,0.9580583609144432,1.4109563442594788,0.03198395021230916,-0.8659936100419326,0.11829444372048689,0.0435310879923901,0.0009390949035698339,-1.6263032587282567e-17,0.21479328230065803,0.006002946391693303,-1.919037845299343e-17,0.11829444372048688,3.615217080353957,3.5271054478658974
9,0.720243733754104,0.9751082849070253,1.5034121466299222,0.03504121719850836,-0.8800468571569091,0.16860733949960655,0.04955629882412764,0.0007565969549919591,5.5185890579512176e-17,0.2643495811247857,0.006759543346685262,3.599551212651875e-17,0.16860733949960655,4.021197929227018,3.927580846256186
10,0.7209864676535853,0.9939541510097,1.6000384958794145,0.03920246360704481,-0.8891260981721372,0.22551455364968864,0.056450961071286054,0.00045625307879619125,-1.4842727741326556e-16,0.32080054219607174,0.007215796425481453,-1.124317652867468e-16,0.22551455364968864,4.4767617881042945,4.3775433759397115
11,0.7215104391945608,1.014730882825393,1.7029406967141016,0.04430597839393879,-0.8938614260188458,0.2898694194195128,0.06433099020639606,2.3875563428022795e-5,5.182486384480711e-17,0.3851315324024678,0.007239671988909476,-6.06069014419397e-17,0.2898694194195127,4.98918852413766,4.884321991847913
12,0.721780004826786,1.037593478866664,1.8145258830379785,0.05019611643034618,-0.8949626584083148,0.3626426791366063,0.07332715511777578,-0.000553895400682266,1.6046192152785466e-17,0.45845868752024355,0.006685776588227209,-4.456070928915423e-17,0.36264267913660625,5.567010620555879,5.456517582755046
13,0.7217636139262962,1.0627178663311616,1.9374344451541097,0.0567454822459542,-0.8931243161462044,0.444940932917161,0.08358914217214876,-0.0012908883915940374,-1.5178830414797062e-18,0.5420478296923923,0.005394888196633172,-4.607859233063394e-17,0.44494093291716097,6.220256074108939,6.104251582025091
