t,N_US,N_W,φ_US,φ_W,ω,ω_star,θ,θ_US_star,R_f,R_f_W,Y_US,Y_W,e_US,e_W,q_US,q_W,d_US,d_W,Q_US,Q_W,I_US,I_W,A,A_star,S,S_star,R_US_u,R_W_u,R_p_u,R_A_u,R_p_star_u,R_A_star_u,R_US_b,R_W_b,R_p_b,R_A_b,R_p_star_b,R_A_star_b,Psi,residual_norm
1,1.0,1.0,0.6531099433676114,0.7384099633925184,0.6121716398992562,0.1736971607737221,-0.7614856398636306,0.7518210323637252,1.128505382997101,1.143565389449585,1.734434524784418,1.7614532165258083,1.68044411444827,1.6936201367692654,0.8815627703309759,0.7113070988235356,0.11515148220117165,0.10504724976062509,0.9427238421959994,0.7485212688276177,0.061161071865023516,0.037214170004082045,0.840222057224135,0.8510230537994817,1.4800390880969914,0.2112060229266253,1.1393180094278301,1.147086968894142,1.142331032237339,1.1528590655955715,1.1457375226926776,1.1327820376369133,1.0614365688163834,1.1503210006977391,1.0959084722714159,1.0710863928498897,1.1348820272429623,1.1300879319830226,0.9887778620665251,6.888594378414823e-11
2,1.0693780113264777,1.0523180073214964,0.6535583162331211,0.7271941570497242,0.6082651595328737,0.17606465435549679,-0.728116974150618,0.7799454415036505,1.1209357573737941,1.1353483978585603,1.926634705676019,1.803625718160742,1.8682887289942676,1.735503977187437,0.8882727341781219,0.7123305772146983,0.11610760650104884,0.10360052672767721,1.0157162746491508,0.7904972524389644,0.0658169446582178,0.040898958870221824,0.9341443644971338,0.8720691626663242,1.6143107325946389,0.19190279456881915,1.1409432702867235,1.1449409039045586,1.1425092826542522,1.158217332603221,1.1442370619233946,1.1260633156588455,1.0124509053743962,1.1185516488073641,1.0540142631765534,1.0052875873160203,1.0998710580879774,1.1163003742725954,0.9891310148035446,1.9782494169284808e-10
3,1.143473435091922,1.1097337075293154,0.6533590710760675,0.7156337183899567,0.6057176545696289,0.17839925731217693,-0.6932173381478355,0.8045348330706307,1.1130982371698375,1.1269672344733384,2.1393061827643614,1.8485662011040465,2.076432433798836,1.7802748486064535,0.8963421441111566,0.7134610571098609,0.11712665412855919,0.10211535784519181,1.0960008991161243,0.8367812862439452,0.07105746857168156,0.04502950215963466,1.038216216899418,0.8945659687027454,1.7579256992003485,0.17485648640181511,1.142414186483236,1.1426678872292142,1.1425142162083977,1.1629058828965209,1.142622627204552,1.1188692269964609,0.9643594409696324,1.0863174883379947,1.0124453459301386,0.942671016588071,1.0645602632642355,1.1036107539979656,0.9895290499027283,4.2337603505757343e-10
4,1.2227483738399427,1.1728478771268032,0.652539155902367,0.7037573382604335,0.6046005793944921,0.18046908719155466,-0.6563672194018906,0.8243437042480638,1.105026739227809,1.1184602915380744,2.375030141692742,1.8964824323532175,2.3074526211842454,1.828167727660695,0.9057822981253784,0.7146596448620007,0.11821168325000811,0.10058939388604567,1.1845094550401454,0.8878483997327907,0.07696562295433271,0.04966135238819803,1.1537263105921227,0.9186315447449264,1.9109944410262762,0.1613634143107728,1.143748525822429,1.1402729703219694,1.1423742931912648,1.1668880033377205,1.140900200650621,1.1113281385771403,0.9172087559236994,1.0537394121224022,0.9711928982795562,0.8833487522344766,1.0290998492245582,1.0916897029818733,0.9899800764088543,7.472246072772206e-10
5,1.3077198102586298,1.242337392513932,0.6511208114848922,0.691595036239442,0.604939536458043,0.18207218419343693,-0.6174032587113268,0.8382207556081445,1.0967519498383307,1.1098615370395302,2.636777710163716,1.9475946796325307,2.5643193068402192,1.8794349430985489,0.916620970207799,0.7158863823123155,0.11936619798915427,0.09902069370372177,1.282322539701398,0.9442297954249342,0.08363913846217398,0.054857373886820354,1.2821596534201096,0.9443926828505147,2.073769201629871,0.15278313464075352,1.144962735006271,1.1377614572737185,1.1421177948871544,1.1701268154544915,1.1390726096394679,1.1035985542031235,0.8710374673678393,1.0209376875256568,0.930257117828428,0.8274626659869193,0.9936450270304459,1.0800713897749017,0.9904818262853919,1.2014006205209142e-9
6,1.398967055500262,1.318965996217261,0.6491219310433686,0.6791779987758524,0.6067000438944158,0.18307273668027074,-0.5764900796337751,0.8453125676386721,1.0883003080669658,1.1011984421898544,2.9279766230233344,2.0021366846730713,2.850462793424461,1.9343478583401206,0.9289026381657384,0.717100198089968,0.12059421484748471,0.09740773549210238,1.3906976926178263,1.0065194417109877,0.09119350405667799,0.06068866454965774,1.4252313967122305,0.9719857397629462,2.246863158099421,0.15035397837575598,1.1460717858707605,1.1351392926691042,1.1417720367744246,1.172597957915143,1.13714073411827,1.0958553081682754,0.8258777866926978,0.9880309273061184,0.8896526097783388,0.7751341823728621,0.9583451080927188,1.0681978718609466,0.9910219472349708,1.8308577639779264e-9
7,1.4971404272938373,1.4035966583078658,0.6465565062177743,0.6665382506456112,0.6097823505644779,0.18342705812253451,-0.5341232666299474,0.845230093479407,1.0796936565083008,1.0924910511636436,3.2525910159693647,2.0603566538402194,3.169854738754241,1.993198694009001,0.9426887911689039,0.7182591695555727,0.1219003142537647,0.0957494420771482,1.5111031109697344,1.0753818072902939,0.09976561135401042,0.0672356371031092,1.5849273693771204,1.0015575527109906,2.431473953280037,0.15501096880807388,1.1470891056012922,1.1324132816294628,1.1413623400674755,1.1743010187788703,1.1351052248461395,1.0882696997601076,0.7817572065651461,0.9551346643901528,0.8494121506227266,0.7264134404546602,0.9233325473565479,1.055493662261428,0.9915807806215721,2.6951714037749338e-9
8,1.6029713359549072,1.497205817721329,0.6434351310821035,0.6537082213557697,0.6140282711260684,0.18318867904035638,-0.4910505925281643,0.8381125783734336,1.0709498168761604,1.083752660598161,3.615217080353957,2.12251829846601,3.5271054478658974,2.056302542636631,0.9580583609144432,0.7193210114598309,0.123289681407858,0.09404521179704785,1.6452582835455434,1.1515608855688446,0.10951819282774973,0.0745892824019953,1.7635527239329487,1.0332664517726355,2.6295463339748815,0.16727284173070292,1.1480265377824723,1.1295911977755022,1.1409110177276034,1.1752655068596862,1.132968343359039,1.0809898362215526,0.7387000409469112,0.9223598142110585,0.8095875211582684,0.6812454109814762,0.888715422953948,1.0414483607124134,0.992135937473272,3.8726466336013164e-9
9,1.7172839888116886,1.6008998308443705,0.6397655526997675,0.6407202509407888,0.6192387006926465,0.18249099190835846,-0.44813685146457505,0.8245671793226076,1.0620838708217215,1.074991834879179,4.021197929227018,2.1889019470119764,3.927580846256186,2.123999624303776,0.9751082849070253,0.720243733754104,0.12476813816713307,0.09229494916589205,1.795183088045891,1.2358907173329292,0.12064524301742999,0.08285264579926625,1.963790423128093,1.0672833933068726,2.8438372802850025,0.18723653614996347,1.1488942636690298,1.1266818759644315,1.1404366460659083,1.17554941206735,1.1307354366292965,1.074127608655264,0.6967288715389727,0.8898111500144451,0.7702471307645178,0.639464332933597,0.8545753734955303,1.0256800698212607,0.9926670373092291,5.466013702698506e-9
10,1.8410089585251121,1.7159340087433104,0.6355532790309484,0.6276060474383096,0.6251967468030027,0.18151567838282634,-0.4062214908293269,0.8055187039736202,1.0531095530340737,1.0662148762011323,4.4767617881042945,2.259805733662816,4.3775433759397115,2.1966578291985233,0.9939541510097,0.7209864676535853,0.12634216397612746,0.09049909344411508,1.9632571399269965,1.329307767427399,0.13337864355491663,0.09214256773690335,2.1887716879698558,1.103793237557467,3.077897786141993,0.21466713938532986,1.149700703814039,1.1236952675182041,1.1399537816895529,1.1752317737239046,1.128415661929084,1.067755182690679,0.6558658467396068,0.8575858328366431,0.7314711537636291,0.600814723704031,0.8209704927168653,1.0079628477252371,0.9931590336750451,7.609867907064112e-9
