t,N_US,N_W,phi_US,phi_W,q_US,q_W,d_US,d_W,Q_US,Q_W,e_US,e_W,Y_US,Y_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,Psi,residual_norm,v_US,B_per,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
1.0,1.0,1.0,0.9023603194937551,0.6605045027509567,0.7962368175145563,0.864502841050227,0.03592462545225628,0.11420160383093392,0.8117856792084425,0.9232018054293384,1.7800951885424845,1.6815140392443007,1.8004709523008546,1.7370166786961232,0.5183540264901323,0.15257171791447924,0.7167187012501001,-0.6803953235262112,1.0733219970457653,1.0883569208997432,0.9826938381102874,1.0707281471259245e-11,0.7962371491316895,-3.3161713319795894e-7,0.8117860173013739,-3.3809293142894603e-7,-4.1648053185492793e-7,0.07826191506279978,0.07826157696986835,3.3809293142894603e-7,0.07840282052067793,-0.0001409054578781488,-1.5924813528966908e-6,-0.00013965106945668104,3.3809293142894603e-7
2.0,1.019527936101249,1.0678990994498085,0.8973536877722376,0.661289833586973,0.8058052246164437,0.8348430457510605,0.036154614496785094,0.1104146437591921,0.8384065670695929,0.9519220654508785,1.834229805926812,1.7377817787338343,1.8542248159084689,1.7952995486589611,0.5190922268750343,0.15258282961504305,0.7158517222302874,-0.6815847722007844,1.0740071115724759,1.089070108597554,0.9827482278242791,5.777627833783403e-11,0.805805663026208,-4.384097643805873e-7,0.8384070232165802,-4.5614698729323777e-7,-5.440641870060337e-7,0.0787083358938131,0.0787078797468258,4.5614698729323777e-7,0.08102333422114782,-0.0023149983273347274,-0.0026834699950948337,0.0003680155207728131,4.5614698729323777e-7
3.0,1.040458092672044,1.1402407557872016,0.8921169760299482,0.662068153779668,0.8159902561041132,0.8062766783612186,0.036397937987275225,0.10676202237564306,0.8673222820643272,0.9814850258468552,1.8928808753621962,1.7957994152820986,1.9124327879383634,1.8553983276264074,0.5200893662562875,0.15275447778536388,0.7157434995518699,-0.6824129611976582,1.0747226290000955,1.0897979722479259,0.9828295838236827,1.3126878092030693e-10,0.8159908360382432,-5.79934129940618e-7,0.8673228984807478,-6.164164206845513e-7,-7.107120771962748e-7,0.07911815561677094,0.07911753920035025,6.164164206845513e-7,0.08386975221817372,-0.0047515966014027855,-0.005697699050326577,0.0009454860325031067,6.164164206845513e-7
4.0,1.0629076457423585,1.2173054885349688,0.8866433610692862,0.6628426772531102,0.8268343346077451,0.7787539292325067,0.0366553586742049,0.10323826787477078,0.8987731992512781,1.0119052086166818,1.9565065365236438,1.8556183476338293,1.9755431342814742,1.9173670814008523,0.5213576232565975,0.15309218463101606,0.7164262104690594,-0.6828638668183712,1.0754732213273401,1.0905445158956149,0.9829390691923819,2.2922611781440165e-10,0.826835102224622,-7.67616876840016e-7,0.8987740336547944,-8.34403516281057e-7,-9.28380504643614e-7,0.07948006901054383,0.07947923460702755,8.34403516281057e-7,0.08696712043554045,-0.007487051424996616,-0.009105667564150988,0.0016177817356380908,8.34403516281057e-7
5.0,1.087005173385381,1.2993901804308776,0.8809263297142353,0.6636169098170962,0.8383828650920866,0.7522273852388252,0.03692767701204384,0.0998381625743967,0.9330295101465228,1.0431955253151965,2.025620382381786,1.9172909284441586,2.044057959821215,1.9812610090409188,0.5229093247897135,0.15360172599732733,0.7179370484867874,-0.6829228379077587,1.0762640776365158,1.0913142715501754,0.9830777915747877,9.42037020458809e-10,0.8383838817860054,-1.0166939188316348e-6,0.9330306416169627,-1.131470439896809e-6,-1.2126845159689783e-6,0.0797806810443703,0.07977954957393041,1.131470439896809e-6,0.09034362803287044,-0.010562946988500133,-0.012980921739096374,0.0024168432801563444,1.131470439896809e-6
6.0,1.112891912508303,1.3868087572802095,0.874959810994208,0.6643946543844466,0.8506843290691031,0.72665193455724,0.037215729988901845,0.09655673218358939,0.9703953122113016,1.0753669978397418,2.100799175713107,1.9808703679316093,2.118540658343103,2.0471363581970152,0.5247568381231219,0.15428907279318413,0.7203186328072219,-0.6825767293582783,1.0771009524855923,1.0921123559545995,0.983246784011828,9.756696579814354e-10,0.8506856762551984,-1.3471860953462311e-6,0.9703968489776753,-1.5367663737109183e-6,-1.5836498325708014e-6,0.08000427564525192,0.08000273887887821,1.5367663737109183e-6,0.09403113757396864,-0.014026861928716716,-0.017411715146589124,0.003383316451498697,1.5367663737109183e-6
7.0,1.140723155524914,1.4798928437381498,0.8687383340300241,0.6651800060075999,0.8637903353918548,0.7019846930476811,0.037520388845977776,0.09338923646773992,1.0112132590765224,1.1084284856552036,2.182691724630884,2.0464106174819117,2.199624479015388,2.1150503182124707,0.5269124321661789,0.15516030668380842,0.7236194264368216,-0.6818139898040353,1.0779902220087845,1.0929445372842927,0.98344698339514,7.751104919576945e-10,0.8637921227480181,-1.7873561632963941e-6,1.0112153514804043,-2.0924038819369883e-6,-2.069201390661995e-6,0.08013260323891958,0.08013051083503764,2.0924038819369883e-6,0.09806566614204515,-0.017933062903125574,-0.022504023884954316,0.004568868577946805,2.0924038819369883e-6
8.0,1.1706697998858597,1.5789923863481103,0.8622572093555655,0.6659773329627352,0.8777556200402303,0.6781849537795899,0.03784255557160265,0.09033116135471743,1.0558698474407118,1.1423864382354996,2.272029094192979,2.1139662322230115,2.28802237977163,2.1850608885704106,0.5293881083389818,0.1562215065007343,0.7278941575517619,-0.6806246956925038,1.0789389338775885,1.0938172978871754,0.9836792068946468,9.108934721910133e-10,0.8777579928614745,-2.3728212441564978e-6,1.055872701754997,-2.854314285150039e-6,-2.703282314641826e-6,0.08014469965577775,0.0801418453414926,2.854314285150039e-6,0.10248792878658342,-0.022343229130805664,-0.028385260199300433,0.006039176754209619,2.854314285150039e-6
9.0,1.2029200649177478,1.6844762359720165,0.8555127335514111,0.6667912418558031,0.8926379806941124,0.6552141569584291,0.03818315794677158,0.08737821227996283,1.1048014178771504,1.1772446901153795,2.369636360287101,2.183592212847971,2.3845383669306544,2.257226721728819,0.5321953983591672,0.15747859784109894,0.7332042091929744,-0.6790004986634209,1.0799548588041288,1.0947379014923546,0.9839441267803098,7.392598579859334e-12,0.892641133251256,-3.1525571436707978e-6,1.104805319738462,-3.90186131160597e-6,-3.5317309051823118e-6,0.08001676226640009,0.08001286040508848,3.90186131160597e-6,0.10734401527254245,-0.02732725300614236,-0.035208664463415085,0.007877509595961119,3.90186131160597e-6
10.0,1.2376813913049727,1.7967326829143457,0.8485024123834551,0.6676265212028097,0.9084981369406168,0.633035883184603,0.038543143041999385,0.08452630889741695,1.1585009621300122,1.213004331168286,2.4764461432810307,2.25534382717091,2.490080550183145,2.3316069385400504,0.5353451312585801,0.158937161556553,0.7396179566391098,-0.6769344718593366,1.081046530988228,1.0957144522380695,0.9842422443589632,3.70088848464913e-11,0.9085023283758697,-4.191435252987041e-6,1.1585063069750656,-5.344845053434355e-6,-4.613587064793937e-6,0.07972210951050318,0.07971676466544975,5.344845053434355e-6,0.11268608701158689,-0.03296397750108371,-0.04315862207663068,0.01018929973049354,5.344845053434355e-6
11.0,1.275182540309091,1.9161699413721156,0.841225202494092,0.6684880545690989,0.9253994944726573,0.6116158764274413,0.03892346885628457,0.08177158147531091,1.2175258222196754,1.2496637032100189,2.593514197876488,2.3292764128998273,2.605676181713003,2.4082609142474856,0.53884716633064,0.16060219281171834,0.7472110045071143,-0.6744208223275103,1.0822232741946363,1.0967559425611726,0.9845738635196304,8.060076592870145e-11,0.9254050722567826,-5.577784125243568e-6,1.2175331607758815,-7.338556206049063e-6,-6.02743372840349e-6,0.07923127671856856,0.0792239381623625,7.338556206049063e-6,0.11857311974881424,-0.03934184303024568,-0.052456945482683315,0.013107763896231583,7.338556206049063e-6
12.0,1.3156759102332203,2.043216586380213,0.8336817555533073,0.6693807029126962,0.9434078191422609,0.5909220866977815,0.03932509434326184,0.07911036835207966,1.2825064122250445,1.2872185537875585,2.7220373751971096,2.4054451676223443,2.7324889834382744,2.4872480394057166,0.5427101060219426,0.16247780761763628,0.7560662770767917,-0.6714544511466829,1.0834952085678355,1.097872284960394,0.9849390657844178,1.1160233580401e-10,0.9434152491192873,-7.429977026407464e-6,1.282516512833695,-1.0100608650587262e-5,-7.875678869366062e-6,0.07851227537351035,0.07850217476485977,1.0100608650587262e-5,0.12507174409164046,-0.046559468718130104,-0.06337029227879554,0.016800722952014846,1.0100608650587262e-5
13.0,1.359440091763379,2.178321952697442,0.8258746617153275,0.6703091431413865,0.9625908010769915,0.5709247426037715,0.03974896761048732,0.07653921500259013,1.354156071632426,1.3256624278999467,2.8633743315343385,2.483904931108097,2.8718391270245034,2.568627455642454,0.5469409881050302,0.16456688950369702,0.7662738960144232,-0.6680303369055637,1.0848732191430752,1.0990743082056411,0.9853376875602621,1.5206342866852696e-10,0.9626007087088119,-9.907631820404994e-6,1.3541700095173197,-1.3937884893788777e-5,-1.0292672451696613e-5,0.07753109413474335,0.07751715624984956,1.3937884893788777e-5,0.1322570510154779,-0.05472595688073456,-0.07621886584225956,0.021478971076631215,1.3937884893788777e-5
14.0,1.406782684934588,2.3219565189171916,0.8178086687980929,0.6712776637043959,0.9830175295115897,0.5515964395962687,0.04019601286075315,0.07405487385596925,1.4332822278212336,1.3649873413710247,3.019069414116341,2.5647099726090583,3.025226280695103,2.652457777077561,0.5515449791222764,0.1668706757009165,0.77793077899974,-0.6641427390320367,1.0863688804174236,1.1003737115897672,0.9857693019889844,1.8092099357660967e-10,0.9830307559102986,-1.3226398708932052e-5,1.4333015124846689,-1.9284663435259475e-5,-1.3454896084614508e-5,0.07625247923693701,0.07623319457350175,1.9284663435259475e-5,0.14021344900262522,-0.06396096976568821,-0.09138641242833678,0.02740615799921331,1.9284663435259475e-5
15.0,1.4580434069505932,2.474612313252245,0.8094908590415539,0.6722899124460587,1.0047578945309785,0.5329122398896954,0.04066711655863323,0.07165430461937528,1.5207990637309172,1.405184804348016,3.1908802375089285,2.64791379746557,3.19435621865847,2.7387968083400613,0.5565250844286314,0.16938828251472104,0.7911398893563395,-0.6597842325601182,1.0879943194043942,1.1017829581862604,0.9862332069179888,2.202192259059063e-10,1.0047755727279855,-1.767819700693174e-5,1.5208258214061772,-2.6757675259947433e-5,-1.759448430636449e-5,0.07464105502354701,0.07461429734828706,2.6757675259947433e-5,0.149035451606099,-0.07439439658255198,-0.10933162757864245,0.034910473320830526,2.6757675259947433e-5
