scenario,a_US,a_W,T_max,valid_core,valid_exploratory,status,max_u_residual,max_bgp_residual,psi_ok,equity_weights_ok,φ_1,φ_10,φ_20,φ_final,φ_min,floor_band_t,projected_floor_t,decay_rate_per_period,decay_r2,G_N_final,elapsed_sec,error
us_only,0.2000,0.2000,3,true,true,ok,9.671e-08,4.607e-10,true,true,0.6639,0.6489,0.6489,0.6489,0.6489,,NaN,NaN,NaN,1.0702,1.5284,
us_only,0.2000,0.2000,5,true,true,ok,1.341e-07,7.852e-10,true,true,0.6638,0.6334,0.6334,0.6334,0.6334,,407.2666,0.0120,0.9999,1.0733,0.0776,
us_only,0.2000,0.2000,7,true,true,ok,1.772e-07,9.663e-10,true,true,0.6638,0.6175,0.6175,0.6175,0.6175,,396.6687,0.0124,0.9998,1.0765,0.0721,
us_only,0.2000,0.2000,10,true,true,ok,2.524e-07,9.688e-10,true,true,0.6638,0.5930,0.5930,0.5930,0.5930,,381.4513,0.0129,0.9994,1.0814,0.0995,
us_only,0.2000,0.2000,15,true,true,ok,4.093e-07,9.696e-10,true,true,0.6638,0.5929,0.5502,0.5502,0.5502,,357.7370,0.0137,0.9983,1.0900,0.1527,
us_only,0.2000,0.2000,20,true,true,ok,6.115e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.5057,0.5057,,335.9576,0.0146,0.9968,1.0989,0.1917,
us_only,0.2000,0.2000,25,true,true,ok,8.648e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.4601,0.4601,,316.0260,0.0156,0.9950,1.1080,0.2510,
us_only,0.2000,0.2000,30,true,true,ok,7.854e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.4141,0.4141,,297.8377,0.0166,0.9929,1.1172,0.3013,
us_only,0.2000,0.2000,40,true,true,ok,6.716e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.3247,0.3247,,266.4359,0.0186,0.9886,1.1351,0.4475,
us_only,0.2000,0.2000,50,true,true,ok,7.355e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.2437,0.2437,,240.9428,0.0208,0.9846,1.1513,0.5751,
us_only,0.2000,0.2000,60,true,true,ok,2.880e-06,9.697e-10,true,true,0.6638,0.5929,0.5057,0.1760,0.1760,,220.5348,0.0229,0.9814,1.1648,3.5575,
us_only,0.2000,0.2000,80,true,true,ok,4.273e-08,9.697e-10,true,true,0.6638,0.5929,0.5057,0.0828,0.0828,,191.2252,0.0269,0.9776,1.1834,34.4864,
us_only,0.2000,0.2000,100,true,true,ok,5.118e-08,9.697e-10,true,true,0.6638,0.5929,0.5057,0.0358,0.0358,,172.9136,0.0304,0.9775,1.1928,11.4150,
us_only,0.2500,0.2000,3,true,true,ok,1.115e-07,7.120e-10,true,true,0.6117,0.5933,0.5933,0.5933,0.5933,,NaN,NaN,NaN,1.1017,0.0423,
us_only,0.2500,0.2000,5,true,true,ok,1.609e-07,7.120e-10,true,true,0.6117,0.5742,0.5742,0.5742,0.5742,,295.6468,0.0163,0.9999,1.1065,0.0499,
us_only,0.2500,0.2000,7,true,true,ok,2.198e-07,7.120e-10,true,true,0.6117,0.5546,0.5546,0.5546,0.5546,,286.6207,0.0168,0.9997,1.1114,0.0678,
us_only,0.2500,0.2000,10,true,true,ok,3.260e-07,7.120e-10,true,true,0.6117,0.5243,0.5243,0.5243,0.5243,,273.8106,0.0176,0.9991,1.1189,0.0991,
us_only,0.2500,0.2000,15,true,true,ok,5.587e-07,7.120e-10,true,true,0.6117,0.5242,0.4720,0.4720,0.4720,,254.2466,0.0190,0.9977,1.1320,0.1361,
us_only,0.2500,0.2000,20,true,true,ok,8.730e-07,7.120e-10,true,true,0.6117,0.5242,0.4186,0.4186,0.4186,,236.7653,0.0205,0.9958,1.1454,0.2942,
us_only,0.2500,0.2000,25,true,true,ok,1.279e-06,7.120e-10,true,true,0.6117,0.5242,0.4185,0.3654,0.3654,,221.2196,0.0220,0.9937,1.1587,0.2909,
us_only,0.2500,0.2000,30,true,true,ok,1.225e-06,7.120e-10,true,true,0.6117,0.5242,0.4185,0.3138,0.3138,,207.4331,0.0235,0.9914,1.1716,0.3324,
us_only,0.2500,0.2000,40,true,true,ok,1.049e-06,7.120e-10,true,true,0.6117,0.5242,0.4185,0.2206,0.2206,,184.5688,0.0267,0.9870,1.1949,10.3094,
us_only,0.2500,0.2000,50,true,true,ok,4.478e-07,7.120e-10,true,true,0.6117,0.5242,0.4185,0.1464,0.1464,,167.1008,0.0298,0.9836,1.2134,17.1709,
us_only,0.2500,0.2000,60,false,false,ok,0.1977,7.120e-10,true,false,0.6117,0.5242,0.4185,0.1097,0.1097,,160.7503,0.0311,0.9889,1.2226,91.5311,
us_only,0.3000,0.2000,3,true,true,ok,1.186e-07,9.197e-10,true,true,0.5771,0.5557,0.5557,0.5557,0.5557,,NaN,NaN,NaN,1.1333,0.0411,
us_only,0.3000,0.2000,5,true,true,ok,1.782e-07,9.093e-10,true,true,0.5771,0.5335,0.5335,0.5335,0.5335,,234.7529,0.0203,0.9999,1.1399,0.0416,
us_only,0.3000,0.2000,7,true,true,ok,2.513e-07,9.052e-10,true,true,0.5771,0.5107,0.5107,0.5107,0.5107,,226.5157,0.0211,0.9996,1.1468,0.0560,
us_only,0.3000,0.2000,10,true,true,ok,3.880e-07,9.031e-10,true,true,0.5771,0.4755,0.4755,0.4755,0.4755,,214.9817,0.0222,0.9988,1.1573,0.9313,
us_only,0.3000,0.2000,15,true,true,ok,7.001e-07,9.025e-10,true,true,0.5771,0.4755,0.4154,0.4154,0.4154,,197.7570,0.0242,0.9971,1.1754,0.7016,
us_only,0.3000,0.2000,20,true,true,ok,1.137e-06,9.024e-10,true,true,0.5771,0.4755,0.3551,0.3551,0.3551,,182.7944,0.0263,0.9948,1.1935,0.2285,
us_only,0.3000,0.2000,25,true,true,ok,1.705e-06,9.024e-10,true,true,0.5771,0.4755,0.3550,0.2970,0.2970,,169.8419,0.0284,0.9924,1.2109,0.2851,
us_only,0.3000,0.2000,30,true,true,ok,5.366e-06,9.024e-10,true,true,0.5771,0.4755,0.3550,0.2426,0.2426,,158.4944,0.0306,0.9898,1.2272,14.7137,
us_only,0.3000,0.2000,40,true,true,ok,2.093e-08,9.024e-10,true,true,0.5771,0.4755,0.3550,0.1524,0.1524,,140.6582,0.0349,0.9856,1.2543,23.7103,
us_only,0.3000,0.2000,50,false,false,ok,0.2039,9.024e-10,true,true,0.5771,0.4755,0.3550,0.1036,0.1036,,137.7059,0.0358,0.9921,1.2689,110.0421,
us_only,0.4000,0.2000,3,true,true,ok,1.145e-07,3.920e-16,true,true,0.5359,0.5097,0.5097,0.5097,0.5097,,NaN,NaN,NaN,1.1961,0.0579,
us_only,0.4000,0.2000,5,true,true,ok,1.855e-07,4.066e-16,true,true,0.5359,0.4823,0.4823,0.4823,0.4823,,170.9049,0.0275,0.9998,1.2071,0.0655,
us_only,0.4000,0.2000,7,true,true,ok,2.771e-07,5.914e-16,true,true,0.5359,0.4541,0.4541,0.4541,0.4541,,163.4217,0.0288,0.9993,1.2184,0.1347,
