vartheta_US,vartheta_W,scenario,value,a_US,a_W,T_cap,T_max,status,valid_core,valid_exploratory,branch_converged,max_u_residual,max_bgp_residual,psi_ok,equity_weights_ok,phi_final,phi_late_mean,Q_e_final,Q_e_late_mean,Q_us_demand_e_final,Q_row_demand_e_final,Q_wage_cap_e_final,Q_innovation_cap_e_final,Q_demand_add_err_max,Q_prod_add_err_max,reduced_from_cap,elapsed_sec,error
0.5000,0.5000,us_only,0.2000,0.2000,0.2000,100,100,ok,true,true,true,5.118e-08,9.697e-10,true,true,0.0358,0.0552,0.3066,0.3116,0.3052,0.0014,0.2570,0.0496,7.506e-09,1.318e-16,false,14.3557,
0.5000,0.5000,us_only,0.2500,0.2500,0.2000,50,50,ok,true,true,true,4.478e-07,7.120e-10,true,true,0.1464,0.2196,0.3007,0.3271,0.2977,0.0030,0.2478,0.0529,1.769e-07,9.714e-17,false,23.4099,
0.5000,0.5000,us_only,0.3000,0.3000,0.2000,40,40,ok,true,true,true,2.093e-08,9.024e-10,true,true,0.1524,0.2415,0.2765,0.3095,0.2760,4.927e-04,0.2204,0.0561,8.599e-09,1.527e-16,false,35.8814,
0.5000,0.5000,us_only,0.4000,0.4000,0.2000,15,15,ok,true,true,true,4.953e-06,4.441e-16,true,true,0.3382,0.4386,0.3075,0.3691,0.2986,0.0089,0.2431,0.0644,2.617e-06,9.714e-17,false,0.6240,
0.5000,0.5000,us_only,0.5000,0.5000,0.2000,10,10,ok,true,true,true,5.567e-06,4.501e-16,true,true,0.3691,0.4431,0.2889,0.3390,0.2798,0.0091,0.2196,0.0693,2.809e-06,9.714e-17,false,10.9777,
0.5000,0.5000,paired,0.2000,0.2000,0.2000,100,100,ok,true,true,true,5.118e-08,9.697e-10,true,true,0.0358,0.0552,0.3066,0.3116,0.3052,0.0014,0.2570,0.0496,7.506e-09,1.318e-16,false,14.3950,
0.5000,0.5000,paired,0.2500,0.2500,0.2500,100,100,ok,true,true,true,5.356e-07,8.021e-10,true,true,0.0098,0.0174,0.3029,0.3026,0.3022,6.403e-04,0.2428,0.0601,3.446e-08,1.180e-16,false,27.6637,
0.5000,0.5000,paired,0.3000,0.3000,0.3000,92,92,ok,true,true,true,8.831e-07,9.627e-10,true,true,0.0051,0.0102,0.3035,0.3008,0.3029,5.996e-04,0.2337,0.0698,3.695e-08,1.388e-16,false,37.8594,
0.5000,0.5000,paired,0.4000,0.4000,0.4000,60,60,ok,true,true,true,2.246e-06,1.555e-15,true,true,0.0106,0.0257,0.2970,0.2977,0.2966,3.838e-04,0.2128,0.0842,1.830e-07,1.110e-16,false,22.0210,
0.5000,0.5000,paired,0.5000,0.5000,0.5000,40,40,ok,true,true,true,4.074e-06,7.981e-16,true,true,0.0238,0.0661,0.2948,0.3083,0.2941,7.254e-04,0.1981,0.0967,6.330e-07,9.714e-17,false,6.4076,
0.6000,0.6000,us_only,0.2000,0.2000,0.2000,100,100,ok,true,true,true,1.277e-09,8.433e-10,true,true,0.0481,0.0733,0.3108,0.3169,0.3088,0.0019,0.2611,0.0497,6.509e-10,1.388e-16,false,191.3503,
0.6000,0.6000,us_only,0.2500,0.2500,0.2000,50,50,ok,true,true,true,1.113e-07,9.098e-10,true,true,0.1804,0.2653,0.3139,0.3376,0.3092,0.0047,0.2605,0.0534,4.688e-08,1.249e-16,false,76.2573,
0.6000,0.6000,us_only,0.3000,0.3000,0.2000,40,40,ok,true,true,true,8.185e-06,9.355e-10,true,true,0.1874,0.2875,0.2812,0.3157,0.2800,0.0013,0.2261,0.0551,3.805e-06,1.110e-16,false,25.4852,
0.6000,0.6000,us_only,0.4000,0.4000,0.2000,15,15,ok,true,true,true,9.844e-07,9.462e-10,true,true,0.3926,0.4959,0.3069,0.3620,0.2971,0.0098,0.2469,0.0600,5.336e-07,9.021e-17,false,0.0992,
0.6000,0.6000,us_only,0.5000,0.5000,0.2000,10,7,ok,true,true,true,2.843e-07,3.848e-16,true,true,0.4796,0.5281,0.3087,0.3399,0.2953,0.0134,0.2450,0.0637,1.361e-07,4.163e-17,true,0.0952,
0.6000,0.6000,paired,0.2000,0.2000,0.2000,100,100,ok,true,true,true,1.277e-09,8.433e-10,true,true,0.0481,0.0733,0.3108,0.3169,0.3088,0.0019,0.2611,0.0497,6.509e-10,1.388e-16,false,183.9972,
0.6000,0.6000,paired,0.2500,0.2500,0.2500,60,60,ok,true,true,true,2.174e-07,7.960e-10,true,true,0.1012,0.1606,0.3311,0.3462,0.3260,0.0052,0.2704,0.0608,5.871e-08,1.110e-16,false,97.4074,
0.6000,0.6000,paired,0.3000,0.3000,0.3000,60,60,ok,true,true,true,2.581e-06,9.038e-10,true,true,0.0484,0.0892,0.3134,0.3247,0.3109,0.0026,0.2438,0.0696,4.896e-07,1.249e-16,false,131.4904,
0.6000,0.6000,paired,0.4000,0.4000,0.4000,40,40,ok,true,true,true,1.033e-06,6.385e-16,true,true,0.0623,0.1315,0.3146,0.3388,0.3112,0.0034,0.2288,0.0858,2.492e-07,1.388e-16,false,20.8438,
0.6000,0.6000,paired,0.5000,0.5000,0.5000,40,40,ok,true,true,true,9.597e-06,9.098e-16,true,true,0.0274,0.0754,0.3052,0.3187,0.3035,0.0017,0.2053,0.0999,1.553e-06,1.110e-16,false,29.4646,
0.7000,0.7000,us_only,0.2000,0.2000,0.2000,100,100,ok,true,true,true,1.515e-07,7.231e-10,true,true,0.0656,0.0985,0.3107,0.3193,0.3085,0.0021,0.2618,0.0489,3.236e-08,1.318e-16,false,240.5687,
0.7000,0.7000,us_only,0.2500,0.2500,0.2000,50,50,ok,true,true,true,1.086e-07,8.565e-10,true,true,0.2244,0.3174,0.3166,0.3463,0.3113,0.0053,0.2652,0.0514,4.850e-08,1.110e-16,false,9.4850,
0.7000,0.7000,us_only,0.3000,0.3000,0.2000,40,40,ok,true,true,true,6.787e-06,9.025e-10,true,true,0.2280,0.3378,0.2864,0.3219,0.2841,0.0022,0.2325,0.0539,3.300e-06,1.110e-16,false,11.8582,
0.7000,0.7000,us_only,0.4000,0.4000,0.2000,15,15,ok,true,true,true,1.036e-06,9.154e-10,true,true,0.4498,0.5529,0.3059,0.3550,0.2953,0.0106,0.2507,0.0552,5.716e-07,5.551e-17,false,0.5906,
0.7000,0.7000,us_only,0.5000,0.5000,0.2000,10,7,ok,true,true,true,3.015e-07,6.215e-16,true,true,0.5406,0.5881,0.2981,0.3245,0.2847,0.0135,0.2425,0.0557,1.443e-07,6.245e-17,true,0.0752,
0.7000,0.7000,paired,0.2000,0.2000,0.2000,100,100,ok,true,true,true,1.515e-07,7.231e-10,true,true,0.0656,0.0985,0.3107,0.3193,0.3085,0.0021,0.2618,0.0489,3.236e-08,1.318e-16,false,252.6526,
0.7000,0.7000,paired,0.2500,0.2500,0.2500,60,60,ok,true,true,true,1.481e-07,8.974e-10,true,true,0.1241,0.1928,0.3386,0.3558,0.3325,0.0061,0.2778,0.0608,4.346e-08,1.110e-16,false,69.3595,
0.7000,0.7000,paired,0.3000,0.3000,0.3000,60,60,ok,true,true,true,6.200e-07,9.187e-10,true,true,0.0582,0.1056,0.3194,0.3327,0.3162,0.0032,0.2490,0.0704,1.277e-07,1.388e-16,false,16.2344,
0.7000,0.7000,paired,0.4000,0.4000,0.4000,40,40,ok,true,true,true,1.534e-06,6.042e-16,true,true,0.0717,0.1488,0.3231,0.3485,0.3189,0.0043,0.2356,0.0875,3.866e-07,1.804e-16,false,1.6767,
0.7000,0.7000,paired,0.5000,0.5000,0.5000,40,40,ok,true,true,true,4.341e-06,1.255e-15,true,true,0.0312,0.0847,0.3112,0.3274,0.3090,0.0022,0.2097,0.1016,7.377e-07,1.110e-16,false,73.2759,
0.8000,0.8000,us_only,0.2000,0.2000,0.2000,100,100,ok,true,true,true,4.668e-07,8.126e-10,true,true,0.0927,0.1357,0.3066,0.3193,0.3045,0.0021,0.2595,0.0471,1.238e-07,1.735e-16,false,62.4312,
0.8000,0.8000,us_only,0.2500,0.2500,0.2000,50,40,ok,true,true,true,1.281e-06,9.138e-10,true,true,0.3814,0.4873,0.3567,0.3928,0.3456,0.0111,0.3089,0.0478,6.473e-07,1.249e-16,true,0.3012,
0.8000,0.8000,us_only,0.3000,0.3000,0.2000,40,30,ok,true,true,true,2.072e-06,8.419e-10,true,true,0.3993,0.5198,0.3288,0.3725,0.3191,0.0097,0.2786,0.0502,1.131e-06,1.318e-16,true,1.1068,
0.8000,0.8000,us_only,0.4000,0.4000,0.2000,15,15,ok,true,true,true,1.046e-06,9.635e-10,true,true,0.5102,0.6103,0.3050,0.3480,0.2934,0.0115,0.2550,0.0500,5.844e-07,1.041e-16,false,0.1163,
0.8000,0.8000,us_only,0.5000,0.5000,0.2000,10,10,ok,true,true,true,4.911e-07,9.642e-10,true,true,0.5531,0.6249,0.2671,0.2989,0.2558,0.0113,0.2183,0.0488,2.467e-07,6.939e-17,false,0.0843,
0.8000,0.8000,paired,0.2000,0.2000,0.2000,100,100,ok,true,true,true,4.668e-07,8.126e-10,true,true,0.0927,0.1357,0.3066,0.3193,0.3045,0.0021,0.2595,0.0471,1.238e-07,1.735e-16,false,61.8638,
0.8000,0.8000,paired,0.2500,0.2500,0.2500,60,60,ok,true,true,true,1.311e-07,9.565e-10,true,true,0.1525,0.2303,0.3421,0.3641,0.3354,0.0067,0.2823,0.0598,4.216e-08,1.249e-16,false,8.9127,
0.8000,0.8000,paired,0.3000,0.3000,0.3000,60,60,ok,true,true,true,1.720e-06,8.508e-10,true,true,0.0689,0.1239,0.3294,0.3406,0.3251,0.0043,0.2575,0.0719,3.800e-07,1.596e-16,false,121.7244,
0.8000,0.8000,paired,0.4000,0.4000,0.4000,40,40,ok,true,true,true,2.920e-06,9.902e-10,true,true,0.0800,0.1664,0.3427,0.3592,0.3363,0.0064,0.2505,0.0922,7.394e-07,1.665e-16,false,53.0762,
0.8000,0.8000,paired,0.5000,0.5000,0.5000,40,40,ok,true,true,true,3.176e-06,9.161e-16,true,true,0.0351,0.0941,0.3178,0.3356,0.3149,0.0029,0.2144,0.1034,5.622e-07,8.327e-17,false,27.3698,
