vartheta_US,scenario,value,a_US,a_W,T_cap,T_max,status,valid_core,valid_exploratory,branch_converged,max_u_residual,max_bgp_residual,psi_ok,equity_weights_ok,phi_final,phi_late_mean,Q_e_final,Q_e_late_mean,Q_us_demand_e_final,Q_row_demand_e_final,Q_wage_cap_e_final,Q_innovation_cap_e_final,Q_demand_add_err_max,Q_prod_add_err_max,reduced_from_cap,elapsed_sec,error
0.5000,us_only,0.2000,0.2000,0.2000,100,100,ok,true,true,true,5.118e-08,9.697e-10,true,true,0.0358,0.0552,0.3066,0.3116,0.3052,0.0014,0.2570,0.0496,7.506e-09,1.318e-16,false,9.1476,
0.5000,us_only,0.2500,0.2500,0.2000,50,50,ok,true,true,true,4.478e-07,7.120e-10,true,true,0.1464,0.2196,0.3007,0.3271,0.2977,0.0030,0.2478,0.0529,1.769e-07,9.714e-17,false,11.4032,
0.5000,us_only,0.3000,0.3000,0.2000,40,40,ok,true,true,true,2.093e-08,9.024e-10,true,true,0.1524,0.2415,0.2765,0.3095,0.2760,4.927e-04,0.2204,0.0561,8.599e-09,1.527e-16,false,16.6589,
0.5000,us_only,0.4000,0.4000,0.2000,15,15,ok,true,true,true,4.953e-06,4.441e-16,true,true,0.3382,0.4386,0.3075,0.3691,0.2986,0.0089,0.2431,0.0644,2.617e-06,9.714e-17,false,0.3036,
0.5000,us_only,0.5000,0.5000,0.2000,10,10,ok,true,true,true,5.567e-06,4.501e-16,true,true,0.3691,0.4431,0.2889,0.3390,0.2798,0.0091,0.2196,0.0693,2.809e-06,9.714e-17,false,4.5996,
0.5000,paired,0.2000,0.2000,0.2000,100,100,ok,true,true,true,5.118e-08,9.697e-10,true,true,0.0358,0.0552,0.3066,0.3116,0.3052,0.0014,0.2570,0.0496,7.506e-09,1.318e-16,false,7.9000,
0.5000,paired,0.2500,0.2500,0.2500,100,100,ok,true,true,true,5.356e-07,8.021e-10,true,true,0.0098,0.0174,0.3029,0.3026,0.3022,6.403e-04,0.2428,0.0601,3.446e-08,1.180e-16,false,15.8386,
0.5000,paired,0.3000,0.3000,0.3000,92,92,ok,true,true,true,8.831e-07,9.627e-10,true,true,0.0051,0.0102,0.3035,0.3008,0.3029,5.996e-04,0.2337,0.0698,3.695e-08,1.388e-16,false,21.8421,
0.5000,paired,0.4000,0.4000,0.4000,60,60,ok,true,true,true,2.246e-06,1.555e-15,true,true,0.0106,0.0257,0.2970,0.2977,0.2966,3.838e-04,0.2128,0.0842,1.830e-07,1.110e-16,false,11.4350,
0.5000,paired,0.5000,0.5000,0.5000,40,40,ok,true,true,true,4.074e-06,7.981e-16,true,true,0.0238,0.0661,0.2948,0.3083,0.2941,7.254e-04,0.1981,0.0967,6.330e-07,9.714e-17,false,3.6545,
0.6000,us_only,0.2000,0.2000,0.2000,100,100,ok,true,true,true,1.038e-08,8.918e-10,true,true,0.0480,0.0742,0.3526,0.3515,0.3481,0.0045,0.2962,0.0564,1.274e-09,1.422e-16,false,72.2363,
0.6000,us_only,0.2500,0.2500,0.2000,50,40,ok,true,true,true,2.110e-06,9.167e-10,true,true,0.2825,0.3849,0.3317,0.3622,0.3230,0.0087,0.2813,0.0505,1.025e-06,1.110e-16,true,0.3142,
0.6000,us_only,0.3000,0.3000,0.2000,40,40,ok,true,true,true,6.172e-06,7.876e-10,true,true,0.1983,0.3032,0.2762,0.3064,0.2744,0.0018,0.2226,0.0535,2.953e-06,8.327e-17,false,10.8048,
0.6000,us_only,0.4000,0.4000,0.2000,15,15,ok,true,true,true,7.916e-07,9.278e-10,true,true,0.4108,0.5155,0.2932,0.3425,0.2837,0.0095,0.2373,0.0559,4.295e-07,1.110e-16,false,0.1011,
0.6000,us_only,0.5000,0.5000,0.2000,10,10,ok,true,true,true,9.501e-06,4.441e-16,true,true,0.4444,0.5210,0.2687,0.3080,0.2591,0.0095,0.2102,0.0584,4.747e-06,6.245e-17,false,3.7095,
0.6000,paired,0.2000,0.2000,0.2000,100,100,ok,true,true,true,1.038e-08,8.918e-10,true,true,0.0480,0.0742,0.3526,0.3515,0.3481,0.0045,0.2962,0.0564,1.274e-09,1.422e-16,false,72.2805,
0.6000,paired,0.2500,0.2500,0.2500,60,60,ok,true,true,true,4.842e-07,9.974e-10,true,true,0.1059,0.1686,0.3366,0.3483,0.3306,0.0060,0.2751,0.0615,1.279e-07,1.041e-16,false,2.6701,
0.6000,paired,0.3000,0.3000,0.3000,60,60,ok,true,true,true,3.264e-08,9.842e-10,true,true,0.0501,0.0934,0.3237,0.3269,0.3198,0.0038,0.2519,0.0718,5.873e-09,1.388e-16,false,71.3961,
0.6000,paired,0.4000,0.4000,0.4000,40,40,ok,true,true,true,4.374e-07,6.747e-16,true,true,0.0656,0.1391,0.3094,0.3275,0.3057,0.0037,0.2252,0.0842,1.102e-07,1.249e-16,false,4.2146,
0.6000,paired,0.5000,0.5000,0.5000,40,40,ok,true,true,true,3.366e-06,7.680e-16,true,true,0.0289,0.0799,0.2980,0.3072,0.2965,0.0015,0.2006,0.0974,5.694e-07,8.327e-17,false,4.5439,
