scenario,value,a_US,a_W,T_max,status,valid_core,max_u_residual,Q_e_final,Q_e_late_mean,Q_us_demand_e_final,Q_row_demand_e_final,Q_wage_cap_e_final,Q_innovation_cap_e_final,Q_demand_add_err_max,Q_prod_add_err_max,elapsed_sec
us_only,0.2000,0.2000,0.2000,100,ok,true,5.118e-08,0.3066,0.3085,0.3052,0.0014,0.2570,0.0496,7.506e-09,1.318e-16,40.6266
us_only,0.2500,0.2500,0.2000,50,ok,true,4.478e-07,0.3007,0.3118,0.2977,0.0030,0.2478,0.0529,1.769e-07,9.714e-17,67.3490
us_only,0.3000,0.3000,0.2000,40,ok,true,2.093e-08,0.2765,0.2894,0.2760,4.927e-04,0.2204,0.0561,8.599e-09,1.527e-16,89.4566
us_only,0.4000,0.4000,0.2000,15,ok,true,4.953e-06,0.3075,0.3449,0.2986,0.0089,0.2431,0.0644,2.617e-06,9.714e-17,1.4997
us_only,0.5000,0.5000,0.2000,10,ok,true,5.567e-06,0.2889,0.3390,0.2798,0.0091,0.2196,0.0693,2.809e-06,9.714e-17,25.0660
paired,0.2000,0.2000,0.2000,100,ok,true,5.118e-08,0.3066,0.3085,0.3052,0.0014,0.2570,0.0496,7.506e-09,1.318e-16,36.7326
paired,0.2500,0.2500,0.2500,100,ok,true,5.356e-07,0.3029,0.3023,0.3022,6.403e-04,0.2428,0.0601,3.446e-08,1.180e-16,76.4647
paired,0.3000,0.3000,0.3000,92,ok,true,8.831e-07,0.3035,0.3017,0.3029,5.996e-04,0.2337,0.0698,3.695e-08,1.388e-16,114.2377
paired,0.4000,0.4000,0.4000,60,ok,true,2.246e-06,0.2970,0.2960,0.2966,3.838e-04,0.2128,0.0842,1.830e-07,1.110e-16,57.1251
paired,0.5000,0.5000,0.5000,40,ok,true,4.074e-06,0.2948,0.2980,0.2941,7.254e-04,0.1981,0.0967,6.330e-07,9.714e-17,16.9267
