t,model_t,tracked_rebased_nfa,reference_rebased_nfa,selected_no_buffer_rebased_nfa,reference_error,selected_error
1,0,0.0,0.0,0.0,0.0,0.0
2,1,-0.006302320404255177,-0.007029550992818535,-0.007029550992818535,-0.0007272305885633575,-0.0007272305885633575
3,2,-0.012094331845247075,-0.013480793479788688,-0.013480793479788688,-0.0013864616345416123,-0.0013864616345416123
4,3,-0.017337964269812732,-0.01932577710444024,-0.01932577710444024,-0.001987812834627508,-0.001987812834627508
5,4,-0.0220084781759836,-0.024546929863208694,-0.024546929863208694,-0.0025384516872250934,-0.0025384516872250934
6,5,-0.0260925051976244,-0.02913607196980132,-0.02913607196980132,-0.003043566772176917,-0.003043566772176917
7,6,-0.02958633509463634,-0.03309332524056107,-0.03309332524056107,-0.003506990145924732,-0.003506990145924732
8,7,-0.03249437765141189,-0.036425987042224654,-0.036425987042224654,-0.003931609390812767,-0.003931609390812767
9,8,-0.03482776130256914,-0.03914740872383766,-0.03914740836482652,-0.004319647421268516,-0.004319647062257376
10,9,-0.03660306672165427,-0.04127591447144217,-0.041275913661211784,-0.004672847749787899,-0.0046728469395575165
11,10,-0.03784118329837418,-0.04283379604207238,-0.04283379510884307,-0.004992612743698201,-0.004992611810468887
12,11,-0.038566294854910754,-0.04384638712154915,-0.043846386042076246,-0.005280092266638399,-0.005280091187165492
13,12,-0.03880498251546758,-0.04434124176250243,-0.04434123871935879,-0.005536259247034853,-0.005536256203891213
14,13,-0.038585449742112636,-0.04434740485455086,-0.04434739972419515,-0.0057619551124382246,-0.005761949982082515
15,14,-0.03793685412852868,-0.04389479114469455,-0.043894781116962225,-0.005957937016165871,-0.005957926988433546
