switch_index,G_N_US,G_N_W,fixed_nu_b,common_growth_implied_nu_b,common_growth_log_gap,fed_to_solver
0,1.020331952042318,1.0394101542912866,1.0,1.9203775466262387,-0.01852537539250728,false
1,1.0224593661405819,1.0388652921900343,1.0,1.7166844433713109,-0.015918183877092137,false
2,1.024490921864869,1.0383677522277457,1.0,1.5560538713287322,-0.013454183616935289,false
3,1.0264287903776133,1.0379126820661622,1.0,1.4265220278509385,-0.011126076094581529,false
4,1.0282758247572379,1.037495727048347,1.0,1.3201330453201654,-0.008926411542217814,false
5,1.0300353779891762,1.0371129884862198,1.0,1.2313958248566517,-0.006847731172476584,false
6,1.0317111500722291,1.0367609819760077,1.0,1.1564021832870734,-0.004882678241680746,false
7,1.0333070618342932,1.036436597075872,1.0,1.092297813608788,-0.0030240823428464916,false
8,1.034827152451258,1.0361370592178707,1.0,1.0369517485335134,-0.0012650213209060013,false
9,1.036275497650709,1.0358598943343564,1.0,0.9887426002270229,0.0004011352960167566,false
10,1.037656145635122,1.0356028964226405,1.0,0.9464161609351353,0.0019806978694887414,false
11,1.03897306786762,1.0353640981071712,1.0,0.9089880686896535,0.003479640109683879,false
12,1.0402301223029813,1.0351417441052608,1.0,0.8756757539517157,0.004903591954776958,false
13,1.0414310267375315,1.0349342674655273,1.0,0.8458499009422455,0.006257839592600449,false
14,1.0425793403906174,1.034740268377832,1.0,0.8189992055480199,0.00754733088790209,false
15,1.0436784521324654,1.034558495331167,1.0,0.7947043748314057,0.008776684828961094,false
16,1.0447315739232808,1.034387828409632,1.0,0.7726186678257777,0.009950203767472209,false
17,1.0457417383028824,1.0342272645129353,1.0,0.7524531411304324,0.011071887514564532,false
18,1.0467117990903265,1.034075904280284,1.0,0.7339653263082806,0.012145448685566967,false
19,1.0476444344108011,1.0339329405460715,1.0,0.7169504477579772,0.013174328609042517,false
20,1.0485421514745874,1.0337976481453461,1.0,0.7012345420228389,0.014161713428031124,false
21,1.049407292614966,1.0336693749107588,1.0,0.6866690169099504,0.01511055008197737,false
22,1.0502420422306546,1.0335475337137674,1.0,0.6731263116574413,0.01602356198276708,false
23,1.0510484341771351,1.0334315954454294,1.0,0.6604964099611064,0.016903264062761644,false
24,1.0518283595527818,1.0333210827971533,1.0,0.6486840149772342,0.017751977290307544,false
25,1.0525835745427552,1.0332155647650572,1.0,0.6376062468233966,0.018571842417503745,false
26,1.0533157082339182,1.0331146517828185,1.0,0.6271907531925589,0.0193648329815772,false
27,1.0540262702786443,1.0330179914090487,1.0,0.6173741498232409,0.020132767526478593,false
28,1.054716658404769,1.0329252644922877,1.0,0.6081007249896082,0.020877321126837524,false
29,1.055388165551335,1.0328361817776845,1.0,0.5993213596052227,0.021600036049512508,false
30,1.0560419867637825,1.0327504808807593,1.0,0.5909926205940992,0.02230233176066846,false
31,1.0566792257288777,1.0326679235966931,1.0,0.5830759972040991,0.022985514203287358,false
32,1.0573009009476966,1.032588293504302,1.0,0.5755372547838733,0.023650784390341933,false
33,1.057907951585683,1.0325113938248132,1.0,0.5683458851833779,0.02429924639564579,false
