T_report,n_buffer,terminal_rule,status,residual_safe,tail_window,final_t,final_e_W_over_e_US,max_tail_e_W_over_e_US,tail_log_slope_e_W_over_e_US,final_Y_W_over_Y_US,max_tail_Y_W_over_Y_US,final_Q_W_over_e_US,max_tail_Q_W_over_e_US,tail_log_slope_Q_W_over_e_US,final_zeta,max_tail_abs_zeta_gap,final_Lambda_u,final_Lambda_b,final_Lambda_u_over_Lambda_b,max_tail_Lambda_u_over_Lambda_b,lambda_diagnostics_regular,successor_e_W_over_e_US,successor_Y_W_over_Y_US,successor_Q_W_over_e_US,successor_zeta,successor_HKT_e_W_over_e_US,successor_HKT_Y_W_over_Y_US,successor_HKT_Q_W_over_e_US,successor_HKT_zeta,successor_phi_US_LL,successor_phi_US_HKT_scalar,successor_HKT_phi_over_floor,successor_LL_vs_HKT_phi_log_gap,max_tail_abs_log_phi_US_vs_HKT_scalar,max_tail_residual_norm,psi_ok,equity_weights_ok,hkt_entry_gate,hkt_entry_reason
30,0,local_loglinear,ok,true,8,30,2.5029168333091367,2.6419912222648994,-0.0077462730554564135,2.606880993075212,2.7468257367355315,1.1476566140546438,1.1930125531096192,-0.005552326103986467,0.9531805111779535,0.04681948882204645,1.0529978234614503,1.1552729185737989,0.9114710528845351,0.925528288657463,true,2.475382918624143,2.578749799807956,1.1380889249225856,0.9465427171735731,2.4752084016383558,2.584695445604792,1.138008688508558,0.9999999999999996,0.8476908210229518,0.8246347894086108,824.6347894086108,0.02757536264118557,0.02406516484077062,1.3116486360967873e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
35,0,local_loglinear,ok,true,8,35,2.3529026991760658,2.5529757330755456,-0.011671438392990905,2.4526968049429354,2.657826221115778,1.096802001757867,1.164540334122715,-0.00857118216344942,0.916139963670187,0.08386003632981298,1.0532476308554213,1.1712090928597965,0.8992823205322432,0.9160955023966452,true,2.3193817708363835,2.4181118790904796,1.0850505065597127,0.9083193053096176,2.318679950075087,2.427424939498776,1.084722181580128,1.0,0.8351382563983647,0.7957765424776242,795.7765424776242,0.048278866766590794,0.043972027351766474,1.222842387425076e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
40,0,local_loglinear,ok,true,8,40,2.1777200151415186,2.4167919515522427,-0.014887397896123237,2.271398823785515,2.518492299489392,1.0364693969194374,1.118745590185861,-0.010918986220054347,0.874986921098551,0.12501307890144897,1.0530935387139895,1.189835400870639,0.8850749758692745,0.9046160707164207,true,2.140586215893779,2.2328817487882073,1.0233589194682964,0.8665113487967081,2.1390571660064346,2.245055442948652,1.0226279202546662,0.9999999999999999,0.8228076963963844,0.7656876274060709,765.6876274060709,0.07194822219540495,0.06705832017436181,1.1379846087364585e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
45,0,local_loglinear,ok,true,8,45,1.987854233178239,2.2501525957132977,-0.01770879339996017,2.0740985900586746,2.346443998152724,0.9704217505846762,1.0616023602263565,-0.012833092555428891,0.8318472867715948,0.1681527132284052,1.0525752459080593,1.2115235443775858,0.8688029636673834,0.891146224950864,true,1.9487842901657852,2.03343399541182,0.9565347458948843,0.8230870244131946,1.9462004301809812,2.0476870950171597,0.9552664927247081,1.0,0.8100244534245984,0.7345707422633962,734.5707422633963,0.09777813215099732,0.09245872429245977,1.3600697433246508e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
50,0,local_loglinear,ok,true,8,50,1.7907134205538358,2.065086865299819,-0.020364930061412965,1.8686585497945272,2.1544175729034807,0.9013163346521851,0.9974183266377923,-0.014475803616926889,0.7882258839406927,0.2117741160593073,1.0517089976494383,1.2367873641194465,0.8503555487068077,0.8756599764555028,true,1.7509001758096725,1.8271166340808709,0.8870655477699553,0.7794426240704738,1.7471338823833,1.8425635597832624,0.8851574154917787,0.9999999999999999,0.7962005002276856,0.7025297212475119,702.5297212475119,0.125163330696314,0.11953005689759522,1.207409139369274e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
55,0,local_loglinear,ok,true,8,55,1.5916166650093801,1.8700963331202043,-0.023031016959499242,1.6607242518825918,1.9514342757894352,0.8310552736629692,0.9292385078335191,-0.015954221139080127,0.7452161627613147,0.25478383723868525,1.0504911770957663,1.2663078055265393,0.8295701665196362,0.8580639269407355,true,1.5519366125638225,1.6192374149152071,0.8167412465943293,0.7366016168769999,1.5469709003255188,1.6350027042422,0.8141279298061901,1.0000000000000002,0.7807754306131066,0.6696001064848782,669.6001064848782,0.1536068894607583,0.14775530188620536,1.2893884617268213e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
60,0,local_loglinear,ok,true,8,60,1.3945497134917415,1.6712278538998862,-0.0258496968148693,1.4545197456788568,1.743914571364698,0.7610553895850267,0.8592247366890845,-0.01733324893854648,0.7036563486848105,0.29634365131518947,1.048901160251241,1.3009620754876798,0.806250374253261,0.8382098829832411,true,1.3556864845399097,1.4138134484213714,0.7469092825202169,0.695360225562869,1.3496148944522934,1.4291062551895641,0.7435641676667356,0.9999999999999999,0.7631736538869918,0.6357710451853569,635.7710451853569,0.18264709226932546,0.17666709670297231,1.468485764274754e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
65,0,local_loglinear,ok,true,8,65,1.2027133693541707,1.4729214414370424,-0.028944755374223058,1.2534271373581307,1.5365685423911115,0.6924444172527954,0.7889572689622693,-0.018642093102436075,0.6642419498453169,0.3357580501546831,1.0469034305107159,1.341850345596608,0.7801938822359851,0.8159096373184224,true,1.165245405751013,1.2141130703910452,0.6786586389320408,0.6563919393965881,1.1582640398616137,1.2282750747038131,0.67459257332131,0.9999999999999998,0.7427762008599988,0.6010028072212261,601.0028072212261,0.21179518375534068,0.20578349078893143,1.654721328480844e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
70,0,local_loglinear,ok,true,8,70,1.0189081216422176,1.2786359202614315,-0.03242772645465155,1.0603938125865235,1.3330563854091515,0.6261999374056646,0.7196581943290831,-0.019874822724280088,0.6276017073630364,0.37239829263696356,1.0444513878986936,1.3903018675821381,0.751240728544147,0.7909578650198191,true,0.9833682015989762,1.023033282346161,0.6129495916700158,0.620316839454343,0.9757604566223247,1.0355692144926292,0.6082075589610206,1.0000000000000002,0.718913451977865,0.565243969804629,565.2439698046289,0.2404835347955096,0.23455421959985173,1.6363120881775023e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
75,0,local_loglinear,ok,true,8,75,0.845782907256113,1.091293967658491,-0.036396785484288874,0.8781969802713694,1.13645942079685,0.5632392701258399,0.6523511636876711,-0.02098668178812086,0.594346776373185,0.405653223626815,1.0414920781133554,1.4478320332536234,0.7193459283898248,0.7631709673387117,true,0.8126917104920415,0.8433370693542671,0.5506945050385129,0.5877466672290446,0.8048048769513325,0.8539322602140886,0.5453502449249303,1.0000000000000002,0.6908856699368048,0.5284519404313581,528.4519404313581,0.2680224887472787,0.26231623351427436,1.5787189394724286e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
80,0,local_loglinear,ok,true,8,80,0.6859564530393287,0.9135833419855585,-0.04092516667458561,0.7095742746041125,0.949599592944564,0.5044696046087748,0.5879709751704403,-0.021887587261882637,0.5650805484012402,0.4349194515987598,1.037980798134863,1.5159863531571436,0.6846900672774515,0.73245102434936,true,0.6558300485797477,0.677756583561462,0.4928008745251312,0.5592867794874622,0.6480423354301489,0.6862827139836756,0.4869490660284267,1.0000000000000002,0.6580378957699156,0.4906206648416731,490.6206648416731,0.293591269516295,0.2882780484664659,1.87690290077107e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from zeta=1 is too large | LL and HKT successor phi values remain too far apart
