T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_iters,warm_start_T,branch_converged,max_u_residual,max_u_residual_t,terminal_u_residual,max_bgp_residual,residual_safe,hard_valid,model_residuals,psi_interior,equity_interior,theta_interior,positive_foreign_claims,positive_returns,accounting_exact,positive_output,finite_accounting,exact_common,extended_bgp_valid,exponent_ordering,robust_ordering_002,accounting_residual_max,accounting_scale,nfa_identity_error,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_reference,nu_b_eff_min,nu_b_eff_max,nu_b_ordering_ok,max_common_growth_log_gap,max_common_growth_level_gap,all_extended_bgp_converged,max_extended_bgp_residual,terminal_successor_scope,terminal_successor_N_US,terminal_successor_phi_US,terminal_successor_phi_W,hkt_scalar_root_residual,phi_US_report_end,q_US_report_end,q_growth,nfa_final,nfa_min,rebased_nfa_t15,nfa_savings_identity_error,nfa_portfolio_identity_error,cond_1b_final,error,search_stage
30,0,local_loglinear,7.547243118286133,ok,30,500,,true,1.3116486360967873e-7,30,1.3116486360967873e-7,2.1638176561709538e-11,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,2.688821387764051e-16,1.0,2.6398049080000874e-8,true,0.9305745584327333,true,0.19705549466816916,1.0,1.0,1.0,true,0.022296745829680206,0.02328562221569408,true,2.1638176561709538e-11,T_report_plus_1_only,1.7228083664883111,0.8476908210229518,0.7616417667451977,,0.8504619145445395,1.6845345447713995,1.5893309493398535,0.14255038915577511,-0.007369195381450311,-0.04389479114469455,0.0,2.6398049080000874e-8,0.8042699539997147,,coarse_grid
35,0,local_loglinear,0.014533042907714844,ok,35,500,30,true,1.222842387425076e-7,35,1.222842387425076e-7,2.1638176561709538e-11,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,2.740863092043355e-16,1.0,2.76457661207985e-8,true,0.9281023618528207,true,0.19542635813059797,1.0,1.0,1.0,true,0.025546011793454407,0.026712568737653042,true,2.1638176561709538e-11,T_report_plus_1_only,2.0109787093696685,0.8351382563983647,0.7549582184199523,,0.8376978024137608,1.8215076964469692,1.7185628905085917,0.3352985699970161,-0.007369057607059082,-0.04389478118878073,0.0,2.76457661207985e-8,0.7774920125054575,,coarse_grid
40,0,local_loglinear,0.02680182456970215,ok,40,500,35,true,1.1379846087364585e-7,40,1.1379846087364585e-7,9.40696233717828e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,5.620504062164855e-16,1.0,3.003661763756327e-8,true,0.9257072938689179,true,0.19387096943993995,1.0,1.0,1.0,true,0.028440964601047572,0.029773503558284453,true,9.40696233717828e-10,T_report_plus_1_only,2.375994116242077,0.8228076963963844,0.7466785669510839,,0.8253259885105391,1.975475449859441,1.8638289620523938,0.6706113317041185,-0.007369053462887409,-0.043894781116962225,0.0,3.003661763756327e-8,0.747604184260777,,coarse_grid
45,0,local_loglinear,0.015236139297485352,ok,45,500,40,true,1.3600697433246508e-7,45,1.3600697433246508e-7,9.412261205294574e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,5.724587470723463e-16,1.236003956706583,4.3519831738336734e-8,true,0.9233888780325203,true,0.1923852571262555,1.0,1.0,1.0,true,0.031065871643832343,0.03255527281073167,true,9.412261205294574e-10,T_report_plus_1_only,2.841504394351661,0.8100244534245984,0.7367138368799061,,0.8126390807782627,2.15184640759655,2.0302320925588915,1.2360040002264148,-0.007369053462887409,-0.043894781116962225,0.0,4.3519831738336734e-8,0.7146816462732974,,coarse_grid
50,0,local_loglinear,0.01563096046447754,ok,50,500,45,true,1.207409139369274e-7,50,1.207409139369274e-7,9.412396590740264e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,7.494005416219807e-16,2.180277353755432,4.2766395313975636e-8,true,0.9211687678379119,true,0.19098168105776062,1.0,1.0,1.0,true,0.03347426670140523,0.03511299602684548,true,9.412396590740264e-10,T_report_plus_1_only,3.441789654665996,0.7962005002276856,0.7248681865669846,,0.7990316556247421,2.3577906550395547,2.224537140986432,2.180277396521827,-0.007369053462887409,-0.043894781116962225,0.0,4.2766395313975636e-8,0.6786742403394826,,coarse_grid
55,0,local_loglinear,0.02126312255859375,ok,55,500,50,true,1.2893884617268213e-7,55,1.2893884617268213e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,1.3322676295501878e-15,3.762294178988342,5.442214412454405e-8,true,0.9190959482068695,true,0.18969190044827428,1.0,1.0,1.0,true,0.03569870535621596,0.03748001264835632,true,9.412400289866509e-10,T_report_plus_1_only,4.227285555265928,0.7807754306131066,0.710840236566602,,0.7839377698110328,2.603164198507773,2.456043089020374,3.7622942334104863,-0.007369053462887409,-0.043894781116962225,0.0,5.442214412454405e-8,0.6394550765389047,,coarse_grid
60,0,local_loglinear,0.015191078186035156,ok,60,500,55,true,1.468485764274754e-7,60,1.468485764274754e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,1.6930901125533637e-15,6.445358247453686,6.779231664921781e-8,true,0.9172549874130045,true,0.18857150922206942,1.0,1.0,1.0,true,0.03775739296713664,0.0396746848013505,true,9.412400289866509e-10,T_report_plus_1_only,5.273763094377114,0.7631736538869918,0.6942151974145742,,0.7667848083479598,2.901960067809302,2.737952132732072,6.445358315246002,-0.007369053462887409,-0.043894781116962225,0.0,6.779231664921781e-8,0.5968718687607845,,coarse_grid
65,0,local_loglinear,0.01673603057861328,ok,65,500,60,true,1.654721328480844e-7,65,1.654721328480844e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,1.4016565685892601e-15,11.086775772729153,8.110704818875547e-8,true,0.9157785466933831,true,0.187707578577214,1.0,1.0,1.0,true,0.039658960489046546,0.041705337095830464,true,9.412400289866509e-10,T_report_plus_1_only,6.697939749896996,0.7427762008599988,0.674453580031097,,0.7469620521455279,3.2746425173428606,3.089571963360035,11.086775853836201,-0.007369053462887409,-0.043894781116962225,0.0,8.110704818875547e-8,0.5508103955839982,,coarse_grid
70,0,local_loglinear,0.014310836791992188,ok,70,500,65,true,1.6363120881775023e-7,70,1.6363120881775023e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,3.941291737419306e-15,19.33484156022442,8.028750642097293e-8,true,0.9148620460748756,true,0.187227671934388,1.0,1.0,1.0,true,0.041406443373144544,0.04357441834757281,true,9.412400289866509e-10,T_report_plus_1_only,8.684741320392229,0.718913451977865,0.6508837045201021,,0.7238087759575473,3.7519769678508847,3.539929255072024,19.334841479936912,-0.007369053462887409,-0.043894781116962225,0.0,8.028750642097293e-8,0.501282163751613,,coarse_grid
75,0,local_loglinear,0.016733169555664062,ok,75,500,70,true,1.5787189394724286e-7,75,1.5787189394724286e-7,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,9.381384558082573e-15,34.49866076044279,6.42952642238015e-8,true,0.9146942361322661,true,0.1871834456296618,1.0,1.0,1.0,true,0.04300124332198901,0.04528269868322776,true,9.412400289866509e-10,T_report_plus_1_only,11.536287832023698,0.6908856699368048,0.6227133434706438,,0.6966288171386217,4.3814830102020945,4.133857969096107,34.498660696147525,-0.007369053462887409,-0.043894781116962225,0.0,6.42952642238015e-8,0.44853865585199576,,coarse_grid
