t,evidence_window,Y_US,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
1,true,2.7264737869186,0.1498572782728842,0.054963770050490586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,true,2.7273764942436873,0.13068504620730687,0.04791602717231248,-0.007029550964467731,-0.006874006586449926,-0.0074816902924926465,-0.014355696878942573,0.008560701939289062,-0.013142525032577814,-0.0002347120933460234,-0.004816535186634776,1.5612511283791264e-17,-0.0025203731868181684,-0.00274318206829283,-0.005263555255110999,0.0031388046195151282,-0.004818742502296989,-8.605782657487851e-5,-0.0017659957093567387,5.724369670539629e-18
3,true,2.737062486006449,0.11295950415775519,0.04127034173873407,-0.013480793479788342,-0.00603429445610615,-0.007907904075235384,-0.013942198531341534,0.010070022367794291,-0.01320970399060194,-0.000643661895402492,-0.0037833435182101412,-3.469446951953614e-18,-0.004716114852529407,-0.005622668260739068,-0.010338783113268475,0.0068068319237631954,-0.009627923789796029,-0.0003209185004870385,-0.0031420103665198724,4.436531644389005e-18
4,true,2.755318485899445,0.09660860727396292,0.035062591772372205,-0.01932577713662702,-0.0052981204728791914,-0.008313173902596636,-0.013611294375475827,0.011621430666510963,-0.013344111146282471,-0.0010169220285449476,-0.0027396025083164556,1.734723475976807e-17,-0.006607737584097096,-0.008602551172078804,-0.0152102887561759,0.01097954923483875,-0.014407169397153653,-0.0006878682181362287,-0.004115488380451132,1.070304548912389e-17
5,true,2.7819813751694467,0.08156817633437197,0.029320173406769755,-0.024546929950008324,-0.004649103879263675,-0.00870067058550409,-0.013349774464767764,0.013213933899920512,-0.013542793876260294,-0.0013617964984832531,-0.0016906564748230355,-1.5439038936193583e-16,-0.008215556580894378,-0.011647611714817865,-0.019863168295712243,0.015624148048391363,-0.019137128134971714,-0.001170781567715683,-0.004683761654296036,-4.489609146384836e-17
6,true,2.8169389904324262,0.06778274111310512,0.024062552062123235,-0.029136071969801475,-0.004073291333070864,-0.00907376662280583,-0.013147057955876694,0.01484852901001077,-0.013802846601401398,-0.0016840596739995939,-0.0006383772653902227,6.591949208711867e-17,-0.009559602397933362,-0.014724211500323426,-0.02428381389825679,0.020701413158605103,-0.023799585605094112,-0.0017540856250556557,-0.0048522580715446685,-2.0937833010773646e-17
7,true,2.860130226588191,0.05520606038925735,0.019301939427811256,-0.033093324563943004,-0.003558802432386188,-0.009435912782658117,-0.012994715215044304,0.016527840370018254,-0.014121498638924613,-0.001988307239897097,0.00041803449119654466,-6.938893903907228e-18,-0.010659521331140311,-0.01780097905612719,-0.028460500387267506,0.02616750019205327,-0.02837754677445834,-0.002422777594270405,-0.004632824176675479,-2.304772400722225e-17
8,true,2.911544736044142,0.04380138742574191,0.015044037236829129,-0.03642598704879881,-0.00309552079938652,-0.00979056267334555,-0.01288608347273207,0.018255846793369387,-0.014496178426820903,-0.002278257857331767,0.0014814105092167164,-8.500145032286355e-17,-0.011534474996654612,-0.02084930387060277,-0.032383778867257386,0.03197557086943615,-0.03285529379941464,-0.003162485251562892,-0.00404220818154138,-5.183535067884119e-17
9,true,2.971222471723157,0.03354162014999651,0.011288828241307723,-0.03914740792042763,-0.002674805669975751,-0.01014109839505486,-0.01281590406503061,0.020037636139085314,-0.014924571088542641,-0.0025569282612575295,0.002556136789285143,6.591949208711867e-17,-0.012203039649363754,-0.02384364685038437,-0.036046686499748126,0.03807723664676833,-0.037218427719173414,-0.003959530348274396,-0.003100721420679481,-2.8608241601500495e-17
10,true,3.0392532227425635,0.024409323002392513,0.008031355472370286,-0.0412759142054277,-0.002289259659275836,-0.0104908106732605,-0.012780070332536335,0.021879257601185684,-0.015404649283090207,-0.0028268351331631747,0.003647773184932302,3.642919299551295e-17,-0.012683117352758731,-0.026761702313688084,-0.03944481966644681,0.04442380706446998,-0.04145389306219518,-0.004801008541255673,-0.0018310945389808722,-1.5981642123100203e-17
