sweep_kind,sweep_value,case_id,label,omega_bar,omega_bar_star,T_max,branch_iters,warm_start_T,seed_kind,global_polish,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,30,60,,none,false,ok,4.0981831550598145,true,1.3116486360967873e-7,2.1638176561709538e-11,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,45,60,30,horizon,false,ok,0.024801015853881836,true,1.2719917398235468e-7,9.412262316347304e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,60,60,45,horizon,false,ok,0.022476911544799805,true,1.5566993850941658e-7,9.412399550256443e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,70,60,60,horizon,false,ok,0.01615309715270996,true,1.5957340712687901e-7,9.412399550256443e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,80,60,70,horizon,false,ok,0.02366495132446289,true,1.6496605472799417e-7,9.412399550256443e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,90,60,80,horizon,false,ok,0.032933950424194336,true,2.43632676556676e-7,9.412399550256443e-10,true,
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,60,90,horizon,false,ok,0.049176931381225586,true,3.2881681738823914e-7,9.412399550256443e-10,true,
omega_star_continuation,0.26,omega_0p50_omega_star_0p26,omega_bar* continuation = 0.26,0.5,0.26,100,60,100,parameter,false,ok,2.4403600692749023,true,1.0815502426248745e-6,9.750441015117708e-10,true,
omega_star_continuation,0.27,omega_0p50_omega_star_0p27,omega_bar* continuation = 0.27,0.5,0.27,100,60,100,parameter,false,ok,1.2265350818634033,true,3.8254137839586657e-7,9.204836732764922e-10,true,
omega_star_continuation,0.28,omega_0p50_omega_star_0p28,omega_bar* continuation = 0.28,0.5,0.28,100,60,100,parameter,false,ok,0.08285713195800781,true,3.9457723019207127e-7,9.480695933535902e-10,true,
omega_star_continuation,0.29,omega_0p50_omega_star_0p29,omega_bar* continuation = 0.29,0.5,0.29,100,60,100,parameter,false,ok,0.08198285102844238,true,4.517641797328832e-7,9.708410705730864e-10,true,
omega_star,0.3,omega_0p50_omega_star_0p30,omega_bar* = 0.3,0.5,0.3,100,60,100,parameter,false,ok,0.0833730697631836,true,4.723875319002643e-7,9.87246677974907e-10,true,
omega_star_continuation,0.31,omega_0p50_omega_star_0p31,omega_bar* continuation = 0.31,0.5,0.31,100,60,100,parameter,false,ok,0.08368396759033203,true,4.832552445198901e-7,9.957968421364603e-10,true,
omega_star_continuation,0.32,omega_0p50_omega_star_0p32,omega_bar* continuation = 0.32,0.5,0.32,100,60,100,parameter,false,ok,0.08552908897399902,true,4.875645150106918e-7,9.952646682644498e-10,true,
omega_star_continuation,0.33,omega_0p50_omega_star_0p33,omega_bar* continuation = 0.33,0.5,0.33,100,60,100,parameter,false,ok,0.08560895919799805,true,4.85866222625625e-7,9.84912038828467e-10,true,
omega_star_continuation,0.34,omega_0p50_omega_star_0p34,omega_bar* continuation = 0.34,0.5,0.34,100,60,100,parameter,false,ok,0.08203792572021484,true,4.783148409759019e-7,9.646559364770793e-10,true,
