sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,solve_status,failure_T,failure_reason,hard_valid,max_u_residual,max_bgp_residual,bound_status,finite_envelope_diagnostics_pass,lower_bound_certified,hkt_entry_gate,hkt_entry_reason,cutoff_t,endpoint_guard,prefix_reference_T,prefix_product_log_gap,prefix_leakage_gap,prefix_stable,leakage_reconstruction_error,omitted_tail_bound,analytic_growth_floor_ok,tail_dividend_envelope_ok,tail_switch_envelope_ok,max_tail_e_W_over_e_US,max_tail_Y_W_over_Y_US,max_tail_abs_zeta_gap,successor_LL_vs_HKT_phi_log_gap
pi,0.7,pi_0p700_gamma_0p25,π = 0.7,0.7,0.25,105,failed,30,no residual-safe solution within iteration schedule,false,,,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,ok,,,true,3.729886339765222e-7,9.412399550256443e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,5.4254872203785e-5,2.3141433059287175e-5,true,1.1102230246251565e-16,17.598275882501017,true,true,true,0.2566106123915491,0.25247962519096984,0.5071734415924508,0.36391513058045766
pi,0.8,pi_0p800_gamma_0p25,π = 0.8,0.8,0.25,105,ok,,,true,4.546759895949121e-7,9.378269035894015e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,5.083216577972394e-5,2.0458480655516365e-5,true,5.551115123125783e-17,11.925764509488342,true,true,true,0.2278166956686416,0.22185849702710536,0.5002520755531391,0.35717934861245504
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,ok,,,true,5.235646643336317e-7,8.919894430801943e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,3.5045466461269825e-5,1.2686074903130173e-5,true,5.551115123125783e-17,4.436195289584018,true,true,true,0.17220726398555816,0.16221586596842777,0.48880219385322654,0.34646090460257417
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,ok,,,true,5.679523873306446e-7,9.470010521276862e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,2.6124587837905722e-5,8.724529552868454e-6,true,1.3877787807814457e-17,2.082142701776106,true,true,true,0.14215275864310298,0.12960939023547455,0.4835429031960463,0.3417684786309818
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,105,failed,80,no residual-safe solution within iteration schedule,false,,,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
pi,0.99,pi_0p990_gamma_0p25,π = 0.99,0.99,0.25,105,failed,45,no residual-safe solution within iteration schedule,false,,,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
pi,0.995,pi_0p995_gamma_0p25,π = 0.995,0.995,0.25,105,failed,45,no residual-safe solution within iteration schedule,false,,,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,ok,,,true,4.31764363104087e-7,9.115784830125209e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,8.328667115975463e-5,2.930423120492409e-5,true,1.1102230246251565e-16,19.58819948300945,true,true,true,0.24105193004698836,0.23639265599579945,0.49417290836853633,0.3504796029198529
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,ok,,,true,3.729886339765222e-7,9.412399550256443e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,5.4254872203785e-5,2.3141433059287175e-5,true,1.1102230246251565e-16,17.598275882501017,true,true,true,0.2566106123915491,0.25247962519096984,0.5071734415924508,0.36391513058045766
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,105,ok,,,true,3.293816013989964e-7,9.7700809043803e-10,diagnostic_only_hkt_gate_failed,true,false,false,tail e_W/e_US | tail Y_W/Y_US | LL successor dominance | HKT successor dominance | zeta convergence | LL-HKT phi agreement,103,2,104,5.5432424570511785e-5,2.6453218096994524e-5,true,1.1102230246251565e-16,16.755772620960574,true,true,true,0.2761641313569239,0.27272222510962074,0.5226485124935736,0.38017697922326044
gamma,0.75,pi_0p750_gamma_0p75,γ = 0.75,0.75,0.75,105,failed_hard_gate,105,failed hard gate(s): theta_interior; min theta_US_star=0.007079 < 0.010,false,,,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
gamma,0.9,pi_0p750_gamma_0p90,γ = 0.9,0.75,0.9,105,failed_hard_gate,105,failed hard gate(s): theta_interior; min theta_US_star=0.006007 < 0.010,false,,,unavailable_no_T105_solution,false,false,false,not evaluated,,,,,,false,,,false,false,false,,,,
