sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,bound_status,bubble_share_upper,log10_bubble_share_upper,bubble_share_lower,log10_bubble_share_lower,a_t,dividend_yield_d_over_q,switch_term_raw,switch_contribution_weighted
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,1,0,diagnostic_only_hkt_gate_failed,3.6398898221737293e-9,-8.438911762050438,1.1325080352573607e-17,-16.94595870794157,0.0,0.0,0.0,0.0
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,2,1,diagnostic_only_hkt_gate_failed,4.785239227128085e-9,-8.32009634578168,1.4888697570837183e-17,-16.82714329167281,0.31466595444099343,0.034849792305660085,0.839448486406,0.27981616213533334
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,3,2,diagnostic_only_hkt_gate_failed,6.294158873151752e-9,-8.201062299099581,1.958351996152956e-17,-16.708109244990716,0.3153279437879367,0.03454758494358246,0.8423410765330627,0.2807803588443542
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,4,3,diagnostic_only_hkt_gate_failed,8.281720448744716e-9,-8.081879433289885,2.5767579273477603e-17,-16.588926379181018,0.31577874274370005,0.03425688596320869,0.8445655703414743,0.2815218567804914
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,5,4,diagnostic_only_hkt_gate_failed,1.0899028591956982e-8,-7.962612208110084,3.391101945365935e-17,-16.469659154001217,0.31603435052060597,0.03397821199316855,0.8461684155823124,0.28205613852743744
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,6,5,diagnostic_only_hkt_gate_failed,1.434431746208175e-8,-7.843320111726364,4.4630622298310733e-17,-16.350367057617497,0.3161097194173092,0.033711815036935364,0.8471937131411216,0.2823979043803738
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,7,6,diagnostic_only_hkt_gate_failed,1.887739006182078e-8,-7.72405805029758,5.873473367095528e-17,-16.231104996188716,0.31601870299663215,0.0334577307008774,0.8476829168872643,0.2825609722957547
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,8,7,diagnostic_only_hkt_gate_failed,2.483837992765398e-8,-7.604876734237215,7.728163825036973e-17,-16.11192368012835,0.3157740474881241,0.03321582097725988,0.8476746795325928,0.28255822651086426
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,9,8,diagnostic_only_hkt_gate_failed,3.2672092461772464e-8,-7.485823050541373,1.0165529466364941e-16,-15.992869996432505,0.3153874188628859,0.03298581176764334,0.8472048212857277,0.28240160709524254
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,10,9,diagnostic_only_hkt_gate_failed,4.2959536160809125e-8,-7.366940416412052,1.336634411202883e-16,-15.873987362303186,0.3148694474060191,0.032767324792086966,0.8463063678417964,0.2821021226139321
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,11,10,diagnostic_only_hkt_gate_failed,5.6458702193907296e-8,-7.248269109123966,1.7566447617531983e-16,-15.755316055015099,0.3142297901580506,0.032559904778141094,0.8450096561397286,0.2816698853799095
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,12,11,diagnostic_only_hkt_gate_failed,7.415721772821856e-8,-7.129846572660064,2.307312832325845e-16,-15.636893518551199,0.31347719388812467,0.032363041676126116,0.8433424566359956,0.28111415221199854
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,13,12,diagnostic_only_hkt_gate_failed,9.734021502575555e-8,-7.011707698729496,3.0286239709451905e-16,-15.518754644620628,0.3126195670191009,0.03217618923481022,0.8413301333528718,0.28044337778429057
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,14,13,diagnostic_only_hkt_gate_failed,1.2767766057627074e-7,-6.89388508345046,3.97253718078578e-16,-15.400932029341593,0.31166404905195905,0.031998779911241636,0.8389958074221522,0.2796652691407174
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,15,14,diagnostic_only_hkt_gate_failed,1.6733652216095346e-7,-6.776409261417012,5.20647506374591e-16,-15.283456207308147,0.31061707589004406,0.03183023665701811,0.8363605176990777,0.2787868392330259
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,16,15,diagnostic_only_hkt_gate_failed,2.1912457244440037e-7,-6.6593089182921865,6.817798096630755e-16,-15.166355864183322,0.30948444257515045,0.03166998222371248,0.8334433810543138,0.2778144603514379
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,17,16,diagnostic_only_hkt_gate_failed,2.866744031702639e-7,-6.54261108298022,8.919530012011359e-16,-15.049658028871352,0.30827136350946377,0.03151744644340033,0.8302617511981903,0.27675391706606345
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,18,17,diagnostic_only_hkt_gate_failed,3.746784358347113e-7,-6.42634130148183,1.1657669873289313e-15,-14.933388247372962,0.30698252683613125,0.03137207166002584,0.8268313655283162,0.2756104551761054
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,19,18,diagnostic_only_hkt_gate_failed,4.891884622400488e-7,-6.310523794572323,1.522051191953919e-15,-14.817570740463458,0.3056221427588461,0.03123331662756027,0.8231664783938575,0.2743888261312858
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,20,19,diagnostic_only_hkt_gate_failed,6.379966516683692e-7,-6.195181600535525,1.9850500146463834e-15,-14.702228546426658,0.30419398844141,0.031100659304917462,0.8192799874094777,0.27309332913649254
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,21,20,diagnostic_only_hkt_gate_failed,8.311191631233965e-7,-6.080336704041698,2.5859275320908134e-15,-14.587383649932832,0.3027014498430511,0.03097359877699064,0.8151835531981815,0.27172785106606046
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,22,21,diagnostic_only_hkt_gate_failed,1.0814086687768838e-6,-5.966010153359547,3.3646732912794418e-15,-14.473057099250681,0.3011475571239206,0.030851656268334565,0.8108877025667581,0.270295900855586
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,23,22,diagnostic_only_hkt_gate_failed,1.4053284351127852e-6,-5.85222216622997,4.372510770093645e-15,-14.359269112121101,0.2995350191729715,0.03073437573430099,0.8064019303160116,0.2688006434386705
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,24,23,diagnostic_only_hkt_gate_failed,1.823928346862616e-6,-5.73899222695794,5.674934158644423e-15,-14.246039172849073,0.2978662505439415,0.030621323725221427,0.8017347804561603,0.2672449268187201
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,25,24,diagnostic_only_hkt_gate_failed,2.364072689011227e-6,-5.626339174173547,7.355528455635512e-15,-14.13338612006468,0.29614340008352025,0.030512089189069704,0.7968939326833516,0.2656313108944505
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,26,25,diagnostic_only_hkt_gate_failed,3.0599809225534064e-6,-5.514281281118293,9.520763407218743e-15,-14.021328227009427,0.29436837402543875,0.03040628282430597,0.7918862736033985,0.2639620912011328
