sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.27507215129237084,0.16425680816592064
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,2,1,-0.006968917386587736,-0.005236966517950733,-0.0025067876004500737,-0.002730178917500659,-0.0017319508686370535,0.0031270846732725606,-0.004844706667404318,-1.432887450529597e-5,1.0166300270892237,0.9908820723630709,0.27554983153163803,0.1717465314188321
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,3,2,-0.01336656236745349,-0.01028791630587534,-0.004691038249280657,-0.005596878056594682,-0.0030786460615781787,0.0067912315537445025,-0.00967397541297938,-0.0001959022023433014,1.0337223088498626,0.9829647123487154,0.2760107298751164,0.17883401407571248
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,4,3,-0.019164600400736843,-0.015137376998267633,-0.006573025956455999,-0.00856435104181163,-0.004027223402469248,0.010966386443804028,-0.014468158160680667,-0.0005254516855926093,1.0512130611100365,0.9761026371893134,0.2764478751625445,0.1854873633842932
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,5,4,-0.024345073419576556,-0.01977037600038408,-0.008172849488582599,-0.011597526511801482,-0.0045746974191924784,0.015618545360320642,-0.019208514844644732,-0.0009847279348683866,1.069048084590364,0.9701706308268456,0.2768559813159213,0.19168191834442858
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,6,5,-0.028899410479809873,-0.024173237928115814,-0.009510342905846368,-0.014662895022269445,-0.004726172551694074,0.020707549564121706,-0.02387735259222517,-0.0015563695235906124,1.0871821239349027,0.9650607701925555,0.2772311639066643,0.1973999812373411
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,7,6,-0.0328273384659106,-0.028334166684124196,-0.010604974371584452,-0.017729192312539742,-0.004493171781786417,0.026188806139041978,-0.028458127271025768,-0.002223850649802621,1.1055781507730684,0.9606800064088868,0.2775707014826955,0.20263037206497247
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,8,7,-0.03613575811537589,-0.032243633618294264,-0.011475743282452891,-0.020767890335841373,-0.003892124497081676,0.03201487672248795,-0.03293551598448288,-0.0029714852350867394,1.1242066296002937,0.9569480631387774,0.27787283655296696,0.20736786311195277
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,9,8,-0.038837623209899606,-0.035894588438507506,-0.01214107918872407,-0.023753509249783436,-0.0029430347713921318,0.03813688868709815,-0.03729546889280579,-0.0037844545656844915,1.1430447729438817,0.9537956298430801,0.27813660577975874,0.21161253832492652
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,10,9,-0.040950869696203804,-0.03928252939939834,-0.012618750781398746,-0.026663778617999588,-0.0016683402968055048,0.04450575443920422,-0.041525242141262304,-0.004648852594747415,1.16207583552345,0.9511628053667305,0.27836169836805796,0.21536912044061648
