sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,bound_status,bubble_share_upper,log10_bubble_share_upper,bubble_share_lower,log10_bubble_share_lower,a_t,dividend_yield_d_over_q,switch_term_raw,switch_contribution_weighted
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,1,0,diagnostic_only_hkt_gate_failed,9.33036065774244e-10,-9.030101568617901,2.123558965115186e-17,-16.67293567539917,0.0,0.0,0.0,0.0
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,2,1,diagnostic_only_hkt_gate_failed,1.234891643447884e-9,-8.908371148248202,2.8105721917764256e-17,-16.551205255029473,0.3235197317085033,0.034865995968722786,0.8659612072193416,0.2886537357397805
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,3,2,diagnostic_only_hkt_gate_failed,1.6350381912824869e-9,-8.786472098618662,3.721292388116254e-17,-16.429306205399932,0.32403373199398483,0.034562187797476475,0.8684146325895251,0.28947154419650833
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,4,3,diagnostic_only_hkt_gate_failed,2.165395135824883e-9,-8.664462843121079,4.928367104311205e-17,-16.307296949902348,0.324369759293757,0.03427010308532147,0.8702989686253068,0.2900996562084356
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,5,4,diagnostic_only_hkt_gate_failed,2.86815473565808e-9,-8.542397422380214,6.527824513610994e-17,-16.185231529161484,0.3245410448220503,0.03399023661653238,0.871652424616554,0.290550808205518
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,6,5,diagnostic_only_hkt_gate_failed,3.799042946677369e-9,-8.420325796890245,8.646495032943708e-17,-16.063159903671515,0.324559968625856,0.033722820911364935,0.8725114431434734,0.2908371477144911
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,7,6,diagnostic_only_hkt_gate_failed,5.0315968674855994e-9,-8.298294161926846,1.1451746645964908e-16,-15.941128268708116,0.3244380066527584,0.03346787422176101,0.8729103972929924,0.29097013243099745
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,8,7,diagnostic_only_hkt_gate_failed,6.6627686943052095e-9,-8.176345263503672,1.51642393175228e-16,-15.819179370284942,0.3241857147499867,0.03322524296625451,0.8728814153511965,0.29096047178373213
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,9,8,diagnostic_only_hkt_gate_failed,8.820258149357151e-9,-8.054518703847696,2.007461335608173e-16,-15.697352810628967,0.323812750230395,0.0329946392316548,0.8724543329962205,0.29081811099874016
pi,0.75,pi_0p750_gamma_0p25,π = 0.75 (AHP),0.75,0.25,105,10,9,diagnostic_only_hkt_gate_failed,1.1672093730897044e-8,-7.932851233567661,2.656529601923068e-16,-15.57568534034893,0.3233279041552487,0.032775672363240735,0.871656695376024,0.29055223179200795
