sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,branch_iters,warm_start_T,seed_kind,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,30,60,,none,ok,4.041679859161377,true,1.3116486360967873e-7,2.1638176561709538e-11,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,45,60,30,horizon,ok,0.513728141784668,true,1.2719917398235468e-7,9.412262316347304e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,60,60,45,horizon,ok,0.14371895790100098,true,1.5566993850941658e-7,9.412399550256443e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,70,60,60,horizon,ok,0.013460159301757812,true,1.5957340712687901e-7,9.412399550256443e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,80,60,70,horizon,ok,0.0219571590423584,true,1.6496605472799417e-7,9.412399550256443e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,90,60,80,horizon,ok,0.03680896759033203,true,2.43632676556676e-7,9.412399550256443e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,100,60,90,horizon,ok,0.04774594306945801,true,3.2881681738823914e-7,9.412399550256443e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,103,60,100,horizon,ok,0.04470086097717285,true,3.508795369134674e-7,9.412399550256443e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,104,60,103,horizon,ok,0.036685943603515625,true,3.96456673982746e-7,9.412399550256443e-10,true,
baseline,0.75,pi_0p750_gamma_0p25,"pi = 0.75, gamma = 0.25 (AHP seed)",0.75,0.25,105,60,104,horizon,ok,0.03947186470031738,true,3.729886339765222e-7,9.412399550256443e-10,true,
