lambda_u,delta_xi,xi_u,slope_log_q,slope_log_relative_wage,slope_log_N,slope_log_phi
0.2,0.3,0.5,-0.09182434163069249,-0.001153543768665676,0.1162223567491977,-0.01685658162804682
0.2,0.5,0.7,-0.1118023170199025,-0.001331480490110239,0.1414172468875159,-0.03468857147682386
0.2,0.8,1,-0.1270912431984334,-0.001197514645427886,0.1603609473048266,-0.06354562159921671
0.2,1.2,1.4,-0.1355365752409512,-0.0009619642123825699,0.1706231743166672,-0.101892922483809
0.2,1.8,2,-0.140335012282767,-0.0007270347235249403,0.1763275587578649,-0.1583312855203159
0.2,2.5,2.7,-0.1425166980511546,-0.0005676685512128257,0.1788554582529593,-0.2232854885405927
0.8,0.3,1.1,-0.02209092758117387,-0.001153543768665674,0.1162223567491977,-0.01685658162804683
0.8,0.5,1.3,-0.02695196888739294,-0.001331480490110239,0.1414172468875159,-0.03468857147682387
0.8,0.8,1.6,-0.03087467481553743,-0.001197514645427884,0.1603609473048266,-0.06354562159921673
0.8,1.2,2,-0.03316267065095085,-0.000961964212382569,0.1706231743166672,-0.101892922483809
0.8,1.8,2.6,-0.03453847702804803,-0.0007270347235249399,0.1763275587578649,-0.1583312855203159
0.8,2.5,3.3,-0.03520342309937902,-0.0005676685512128284,0.1788554582529593,-0.2232854885405927
1,0.3,1.3,0.001153543768665675,-0.001153543768665675,0.1162223567491977,-0.01685658162804683
1,0.5,1.5,0.001331480490110238,-0.001331480490110239,0.1414172468875159,-0.03468857147682387
1,0.8,1.8,0.001197514645427886,-0.001197514645427886,0.1603609473048266,-0.06354562159921673
1,1.2,2.2,0.0009619642123825689,-0.0009619642123825694,0.1706231743166672,-0.101892922483809
1,1.8,2.8,0.0007270347235249416,-0.0007270347235249393,0.1763275587578649,-0.1583312855203159
1,2.5,3.5,0.0005676685512128237,-0.0005676685512128289,0.1788554582529593,-0.2232854885405927
1.2,0.3,1.5,0.02439801511850522,-0.001153543768665675,0.1162223567491977,-0.01685658162804683
1.2,0.5,1.7,0.02961492986761342,-0.001331480490110239,0.1414172468875159,-0.03468857147682387
1.2,0.8,2,0.0332697041063932,-0.001197514645427885,0.1603609473048266,-0.06354562159921673
1.2,1.2,2.4,0.03508659907571599,-0.0009619642123825677,0.1706231743166672,-0.101892922483809
1.2,1.8,3,0.03599254647509791,-0.0007270347235249406,0.1763275587578649,-0.1583312855203159
1.2,2.5,3.7,0.03633876020180467,-0.0005676685512128277,0.1788554582529593,-0.2232854885405927
1.5,0.3,1.8,0.05926472214326453,-0.001153543768665675,0.1162223567491977,-0.01685658162804683
1.5,0.5,2,0.0720401039338682,-0.001331480490110238,0.1414172468875159,-0.03468857147682387
1.5,0.8,2.3,0.08137798829784121,-0.001197514645427885,0.1603609473048266,-0.06354562159921669
1.5,1.2,2.7,0.08627355137071616,-0.0009619642123825685,0.1706231743166672,-0.101892922483809
1.5,1.8,3.3,0.08889081410245737,-0.0007270347235249397,0.1763275587578649,-0.1583312855203159
1.5,2.5,4,0.08999539767769246,-0.000567668551212828,0.1788554582529593,-0.2232854885405927
1.8,0.3,2.1,0.09413142916802386,-0.001153543768665675,0.1162223567491977,-0.01685658162804683
1.8,0.5,2.3,0.114465278000123,-0.00133148049011024,0.1414172468875159,-0.03468857147682383
1.8,0.8,2.6,0.1294862724892892,-0.001197514645427885,0.1603609473048266,-0.06354562159921673
1.8,1.2,3,0.1374605036657163,-0.0009619642123825694,0.1706231743166672,-0.101892922483809
1.8,1.8,3.6,0.1417890817298168,-0.0007270347235249419,0.1763275587578649,-0.1583312855203159
1.8,2.5,4.3,0.1436520351535802,-0.0005676685512128273,0.1788554582529593,-0.2232854885405927
2.2,0.3,2.5,0.1406203718677029,-0.001153543768665674,0.1162223567491977,-0.01685658162804681
2.2,0.5,2.7,0.1710321767551294,-0.001331480490110241,0.1414172468875159,-0.03468857147682387
2.2,0.8,3,0.1936306514112199,-0.001197514645427885,0.1603609473048266,-0.06354562159921671
2.2,1.2,3.4,0.2057097733923832,-0.0009619642123825674,0.1706231743166672,-0.101892922483809
2.2,1.8,4,0.2123201052329629,-0.00072703472352494,0.1763275587578649,-0.1583312855203159
2.2,2.5,4.7,0.215194218454764,-0.0005676685512128266,0.1788554582529593,-0.2232854885405927
