t,N_US,N_W,φ_US,φ_W,ω,ω_star,θ,θ_US_star,R_f,R_f_W,Y_US,Y_W,e_US,e_W,q_US,q_W,d_US,d_W,Q_US,Q_W,I_US,I_W,A,A_star,S,S_star,R_US_u,R_W_u,R_p_u,R_A_u,R_p_star_u,R_A_star_u,R_US_b,R_W_b,R_p_b,R_A_b,R_p_star_b,R_A_star_b,Psi,residual_norm
1,1.0,1.0,0.90354890141483,0.6597073818571595,0.5171106331243964,0.15226079193595107,-0.679821925103028,0.7161837192742941,1.0460949393259302,1.0607595703710424,1.800707270250573,1.7367407441650948,1.7801437050905475,1.6813977956784338,0.7943518426195623,0.8663179472843513,0.035886786736787565,0.11430326897176563,0.8096750641963244,0.9252782677694559,0.015323221576762166,0.05896032048510464,0.8900718525452738,0.8448814794205066,1.4951622128226203,0.23979111914316018,1.0293052689119273,1.0666878773315278,1.0473569330238268,1.0482148640089988,1.060995971768928,1.050324094932875,1.0343125834515434,1.0648590559873377,1.0490631502346361,1.0510810050887045,1.0602080258881879,1.0501004630635902,0.9825866823769537,4.020422036286473e-11
2,1.019290219717034,1.068058523628568,0.8996326413717466,0.6597552641359177,0.5168772442783938,0.15209592429452473,-0.680251060872405,0.7153409101046443,1.0461456634519124,1.0608285266727475,1.80853787547668,1.7482303155028893,1.7886729035223237,1.6925120943788698,0.7824353193267883,0.8163699746335528,0.03519521765142523,0.1077208776493984,0.8135378377295236,0.9312648902639746,0.016009169178553724,0.05933398042217071,0.8943364517611618,0.8504662762799297,1.5027097718485547,0.24209295619253693,1.0284854015662863,1.0667153818886648,1.0469551750108166,1.0475058461075497,1.0609007576957712,1.0503458351506894,1.0363815593921795,1.0650150269273133,1.0502150391336185,1.0529832362581875,1.0606599932167997,1.0502772993532263,0.982560923914019,6.864418372556487e-11
3,1.0397509131227562,1.1407387816804448,0.895571832626958,0.6597993807113204,0.5166709747091892,0.15195048332837044,-0.6806317287316135,0.7145824007554448,1.0461996124994084,1.0608990381523364,1.816713729630617,1.7597929951308309,1.7975790345465863,1.703697777439702,0.7702333394302604,0.7693156158692536,0.034489964167197004,0.10151879338441631,0.8175770946425869,0.9372993653663122,0.016726276652383697,0.05971120699187882,0.8987895172732931,0.8560869428925867,1.510534180180867,0.24434227998501276,1.0276370085203794,1.066741252642564,1.0465372247166886,1.0467670143037768,1.0607993438480074,1.050366632770541,1.0385359030826133,1.0651802969218522,1.0514139119863972,1.0549629296603507,1.0611316683999885,1.0504614840463375,0.9825381329994256,6.57624715947625e-10
4,1.0614667695991276,1.218354789675305,0.8913623353863369,0.6598398254758976,0.5164931917659524,0.15182523644607585,-0.6809616148226528,0.7139100575456822,1.0462571542352865,1.0609714273946822,1.8252500337353048,1.7714293868936026,1.8068787761200467,1.7149554239041422,0.757748845755336,0.7249858026510929,0.03377143903943887,0.09567490109876015,0.8218012221580328,0.9433819361224799,0.017476002686648635,0.06009201101592539,0.9034393880600233,0.8617437702204894,1.518646932647766,0.2465362256327467,1.0267594160084366,1.0667654748603754,1.046102617833961,1.0459973844765653,1.0606915455159043,1.0503866884061215,1.0407791914838374,1.0653559385337572,1.0526622160067198,1.0570238172136337,1.0616245681018277,1.050653616784037,0.982518462622023,2.2145103792654898e-11
5,1.0845298237819794,1.3012419452529507,0.8869999944040164,0.6598767111817165,0.5163453370882727,0.1517209778094507,-0.6812383118892161,0.7133257639772533,1.0463186876763277,1.06104604922485,1.834162656923707,1.783140104926322,1.8165895464402901,1.7262856188561488,0.7449856490230881,0.6832214405873946,0.03304011332572758,0.09016838344472893,0.8262190324545841,0.9495127929922246,0.01825987779947079,0.06047639660375995,0.9082947732201451,0.86743705226105,1.5270599712264352,0.24867185425475988,1.0258519621077375,1.0667880363516649,1.0456508852971136,1.0451959527316221,1.060577175139696,1.0504062286767288,1.0431151596044088,1.0655431131779993,1.0539625439298437,1.0591698316603129,1.0621403221315493,1.0508543426464096,0.9825020731998001,3.2642538783187633e-11
6,1.1090401990132543,1.3897584832464975,0.8824806489881486,0.6599101711234777,0.5162289314656342,0.15163852773128317,-0.6814593128269688,0.7128314127454602,1.0463846455933283,1.0611232935192076,1.8434681653648795,1.794925773820221,1.8267295367124683,1.7376889531262407,0.7319484716768766,0.6438728150811862,0.03229651811556467,0.08497964391639619,0.8308397869218805,0.95569206723298,0.01907950822591002,0.06086436034209818,0.9133647683562341,0.8731670858992554,1.535785695760637,0.25074615849485254,1.0249139961268117,1.066808928429231,1.045181552292928,1.0443616931591704,1.0604560425754903,1.0504255087853935,1.0455476956082028,1.0657430849308793,1.0553176406803015,1.0614051133737572,1.0626806858270286,1.0510643564450832,0.982489133008999,5.864818955076348e-11
7,1.1351069359000727,1.4842870281958966,0.8778001456280877,0.6599403606908399,0.5161455793105519,0.15157873158894322,-0.6816220025111711,0.7124288954787883,1.04645549709261,1.0612035881455448,1.8531838527495805,1.8067870286868442,1.8373177454200695,1.7491660229086747,0.7186429871275036,0.6067990333184645,0.031541245937756326,0.0800902345830081,0.8356732188257425,0.9619198243749627,0.01993657970136638,0.061255890498556,0.9186588727100348,0.8789341707153043,1.5448369731513039,0.2527560702740353,1.0239448834266267,1.0668281455745074,1.0446941393904634,1.0434935592263879,1.0603279550917355,1.0504448151618426,1.0480808535417991,1.0659572263220618,1.0567304155374218,1.0637340260234134,1.0632475484106185,1.0512844058373065,0.9824798185847299,1.108284536011822e-10
8,1.1628489163527802,1.5852362504838091,0.8729543509230859,0.6599674592661544,0.5160969739512736,0.1515424585254055,-0.6817236491297703,0.7121200912971267,1.0465317498643505,1.0612874015918918,1.8633277717575634,1.8187245152931921,1.8483740139159162,1.760717429363181,0.7050758577901957,0.5718674993367132,0.03077495188943891,0.07548278811482796,0.8407295587916314,0.9681960564992863,0.020832861613795245,0.06165096607720296,0.9241870069579581,0.8847386087844841,1.5542271458196577,0.2546984699227844,1.022944009184337,1.0668456858479973,1.044188163370495,1.0425904850338528,1.0601927178329988,1.0504644680759578,1.050718859223488,1.066187024728687,1.0582039513188763,1.0661611670878335,1.0638429408991514,1.0515152939589871,0.9824743151887729,9.718356728439906e-10
9,1.1923958954240654,1.69304263246689,0.8679391653717918,0.6599916722317681,0.516084903403491,0.15153059975993752,-0.6817613943123155,0.7119068534127828,1.0466139538183767,1.0613752470436582,1.8739187667143236,1.8307388901731305,1.8599190634759286,1.7723437781532647,0.6912547703261794,0.5389534206712809,0.029998354420808688,0.07114095387277408,0.8460195622716952,0.9745206739114417,0.02177021144245368,0.06204955580110115,0.9299595317379643,0.8905807044451729,1.563970038749667,0.2565701974334703,1.0219107754942327,1.06686155318852,1.0436631354242518,1.0416513813615107,1.060050134884829,1.0504848254999266,1.0534661195800292,1.0664340931971963,1.0597415177856417,1.0686913840998884,1.0644690483773158,1.0517578841924737,0.9824728173191642,2.8941141711585413e-11
10,1.2238896548554559,1.8081723513279684,0.8627505413055508,0.6600132323811542,0.5161112549121856,0.1515440659619147,-0.68173224057618,0.7117909922188285,1.0467027025880582,1.0614676843710045,1.8849765081685865,1.8428308204508277,1.871974533981664,1.784045678805705,0.6771884627672,0.5079393456044379,0.02921223564091378,0.06704933786919065,0.8515545327774373,0.9808934981383615,0.02275057880919216,0.06245161726479537,0.935987266990832,0.8964607639769961,1.574079963667267,0.25836806730056106,1.0208446164979046,1.0668757538898108,1.0431185658054387,1.0406751442060922,1.0599000081685896,1.0505062849348081,1.0563272305123093,1.0667001763996764,1.0613465822806112,1.0713297871941436,1.0651282180039017,1.0520131021039152,0.982475529118985,3.8486534436115485e-11
