t,N_US,e_US,A,q_US,v,B_per,Q_US,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
1,1.0,1.6820030755242534,0.8410015377621267,0.8569638858636821,0.8569638852246472,6.390349360785308e-10,0.9145788764829348,0.9145788758009366,6.819982356631726e-10,7.456964655534531e-10,-0.07357733872080807,-0.07357733803880984,-6.819982356631726e-10,-0.0768780001938163,0.003300661473008226,9.159530968849694e-5,0.003209066845317965,-6.819982356631726e-10
2,1.0672315269869115,1.7117236374237585,0.8558618187118793,0.8098822460052129,0.8098822454301362,5.750766529644125e-10,0.9237298812734365,0.9237298806175195,6.559169873909809e-10,7.100744499969474e-10,-0.0678680625615572,-0.06786806190564021,-6.559169873909809e-10,-0.07729129421288639,0.00942323165132919,0.010468726310462917,-0.0010454940032167404,-6.559169873909809e-10
3,1.1405730719864315,1.742452437450427,0.8712262187252136,0.7644607808016597,0.7644607803341624,4.674972631235619e-10,0.9331616428525886,0.9331616422819242,5.706644046199472e-10,6.115386428394967e-10,-0.06193542412737507,-0.06193542355671067,-5.706644046199472e-10,-0.07771145503841237,0.015776030911037298,0.021229064076218718,-0.0054530325945170155,-5.706644046199472e-10
4,1.220679551243975,1.7742266311579165,0.8871133155789582,0.7207025265532526,0.7207025263141194,2.391332687423642e-10,0.9428844114169446,0.94288441110409,3.1285452006812875e-10,3.3180580385031324e-10,-0.05577109583798634,-0.05577109552513182,-3.1285452006812875e-10,-0.07813863130635512,0.022367535468368782,0.03238809383015806,-0.010020558048934758,-3.1285452006812875e-10
5,1.3082851477242254,1.8070848285827321,0.9035424142913661,0.6786066477864686,0.6786066478558739,-6.940525931753427e-11,0.9529088538243041,0.952908853921764,-9.74599290159972e-11,-1.0227623410661133e-10,-0.04936643953293807,-0.049366439630397996,9.74599290159972e-11,-0.0785730025370599,0.029206563004121833,0.04396195696267202,-0.014755394056010118,9.74599290159972e-11
6,1.4042138504427795,1.8410671514174526,0.9205335757087263,0.6381684718355337,0.6381684719459062,-1.1037248892620255e-10,0.9632460700963758,0.9632460702629709,-1.6659518209394264e-10,-1.7295184197042638e-10,-0.04271249438764946,-0.04271249455424464,1.6659518209394264e-10,-0.07901472214555494,0.03630222775790548,0.055967501735597724,-0.019665274144287426,1.6659518209394264e-10
7,1.5093915049200672,1.876215292163423,0.9381076460817115,0.5993795472378737,0.5993795474117494,-1.7387569162252703e-10,0.9739076147693916,0.9739076150519153,-2.825236711245793e-10,-2.900928864710409e-10,-0.035799968687680095,-0.035799968970203766,2.825236711245793e-10,-0.07946396264481748,0.04366399395713738,0.06842230052542886,-0.024758306850815148,2.825236711245793e-10
8,1.6248596056663245,1.9125725759661276,0.9562862879830638,0.5622277186525314,0.5622277188731435,-2.2061208415635747e-10,0.9849055123857814,0.9849055127722477,-3.864663034036653e-10,-3.9238921758850797e-10,-0.02861922440271758,-0.028619224789183884,3.864663034036653e-10,-0.0799208903480042,0.05130166594528662,0.0813446889479772,-0.030043023389156875,3.864663034036653e-10
9,1.7517910976468127,1.9501840246753972,0.9750920123376986,0.5266972230040763,0.5266972231278778,-1.2380152458746352e-10,0.9962522727908955,0.9962522730250671,-2.3417168204531436e-10,-2.35052595051359e-10,-0.021160260453196855,-0.021160260687368537,2.3417168204531436e-10,-0.08038568105636168,0.059225420603164824,0.09475378961295056,-0.035528369243957414,2.3417168204531436e-10
10,1.8915084972513423,1.9890964229376997,0.9945482114688499,0.49276880963971453,0.4927688097181294,-7.841488569582111e-11,1.0079609134438345,1.0079609136042325,-1.6039791717048502e-10,-1.591310883499082e-10,-0.013412701974984675,-0.013412702135382593,1.6039791717048502e-10,-0.08085850808761152,0.06744580611262685,0.1086695529619165,-0.04122374700968756,1.6039791717048502e-10
